Name,Location,Total_Area,Price_per_SQFT
"Lakshmipuram, Kolathur,Chennai","Lakshmipuram, Kolathur,Chennai",1350,8890.0
"Veera Vanchinathan Nagar, Perungudi,Chennai","Veera Vanchinathan Nagar, Perungudi,Chennai",1200,6250.0
"Akshaya,Periyar Nagar, Perambur,Chennai","Akshaya,Periyar Nagar, Perambur,Chennai",946,6660.0
Ben Le Orchard Apartments,"Thirumangalam, Anna Nagar West,Chennai",1065,8260.0
Techcons Blue Alpha,"Mudichur, Chennai",580,4630.0
"Ramaniyam Gauravv ,Sholinganallur, Chennai","Ramaniyam Gauravv ,Sholinganallur, Chennai",1160,5590.0
BSCPL Bollineni Iris,"Arasankazhani, Perumbakkam,Chennai",1055,5500.0
"Dharan Singh Colony, Vadapalani,Chennai","Dharan Singh Colony, Vadapalani,Chennai",1940,14180.0
Amaar Ultra Amaar Avenue Phase 2,"Padmanabha Nagar, Choolaimedu,Chennai",938,9590.0
Vasantham,"Maruthi Nagar, Sembakkam,Chennai",1712,6720.0
"Padupakkam, Triplicane,Chennai","Padupakkam, Triplicane,Chennai",1328,18000.0
TVH Svaya,"Pennalur, Chennai",1085,2760.0
"Singaperumal Koil, Chennai","Singaperumal Koil, Chennai",880,3100.0
Hiranandani Parks Apartment,"Oragadam Sriperambattur, Chennai",1450,4830.0
Alliance Jasmine Springs,"Kelambakkam, Chennai",462,6060.0
"RC NAVARATHNAM ,Sembiyan, Perambur,Chennai","RC NAVARATHNAM ,Sembiyan, Perambur,Chennai",900,10330.0
Plaza Pristine Acres,"Nesamani Nagar, Perumbakkam,Chennai",904,4980.0
Swathy Ayyappa Flats,"Kumaran Nagar, Kilpauk,Chennai",940,6910.0
"Tirupathi Nagar, Valasaravakkam,Chennai","Tirupathi Nagar, Valasaravakkam,Chennai",5400,9500.0
Narayanan Nagar,"Ambattur, Chennai",795,5500.0
Royal,"Anthony Nagar, Kolathur,Chennai",990,6970.0
Amarprakash Temple Waves,"Thandalam, Chennai",630,7140.0
Golden Jubilee Flats,"Thirumangalam, Anna Nagar West,Chennai",1100,9090.0
 Madambakkam,"Madambakkam, Chennai",598,4930.0
"Nerkundram, Mogappair,Chennai","Nerkundram, Mogappair,Chennai",918,7840.0
"Ambattur, Chennai","Ambattur, Chennai",3300,11450.0
"Kamakshi Nagar, Anakaputhur,Chennai","Kamakshi Nagar, Anakaputhur,Chennai",490,3060.0
Prestige Bella Vista,"Iyyappanthangal, Chennai",1791,7260.0
Arun Excello Excello Town House,"Oragadam Sriperambattur, Chennai",500,3600.0
Rajparis Harmony,"Medavakkam, Chennai",1512,5160.0
"BHARATHI ,Thirumullaivoyal, Chennai","BHARATHI ,Thirumullaivoyal, Chennai",967,5010.0
"Ponmar, Chennai","Ponmar, Chennai",1669,4310.0
"Sushil nagar ,Unamancheri, Kolapakkam, Kolapakkam - Vandalur,Chennai","Sushil nagar ,Unamancheri, Kolapakkam, Kolapakkam - Vandalur,Chennai",1065,3380.0
Ozone Metrozone,"Thirumangalam, Anna Nagar West,Chennai",2661,11270.0
"K G Signature City,Panneer Nagar, Mogappair,Chennai","K G Signature City,Panneer Nagar, Mogappair,Chennai",1000,7200.0
"Chinnaiyan Colony, Perambur,Chennai","Chinnaiyan Colony, Perambur,Chennai",8000,8130.000000000001
TNHB LIG Block,"Annanur, Ayappakkam,Chennai",640,2660.0
 Balambal Apartments,"L & T Colony Phase II, Virugambakkam,Chennai",960,6090.0
"Dwaraka flats,Bhavani Nagar, Ayappakkam,Chennai","Dwaraka flats,Bhavani Nagar, Ayappakkam,Chennai",1168,5010.0
"Surya Nagar, Kotturpuram,Chennai","Surya Nagar, Kotturpuram,Chennai",1650,13940.0
"ert  aprtment,Periyar Nagar, Chromepet,Chennai","ert  aprtment,Periyar Nagar, Chromepet,Chennai",763,5240.0
Hansa Abhinav,"Tiruvottiyur, Chennai",836,5380.0
"ADWAITH SRINIVASAN FLAT,Nanganallur, Chennai","ADWAITH SRINIVASAN FLAT,Nanganallur, Chennai",518,7800.0
"Vijaya Gardens, Valasaravakkam,Chennai","Vijaya Gardens, Valasaravakkam,Chennai",3500,8570.0
Gothi Flats,"Ramakrishna Puram, West Mambalam,Chennai",620,9030.0
"Veppampattu, Chennai","Veppampattu, Chennai",1000,3000.0
GR Natarajan Sundaravedam,"Parthasarathy Puram, T Nagar,Chennai",1495,18390.0
"Mathangi Apartments,Samiyar Madam, Kodambakkam,Chennai","Mathangi Apartments,Samiyar Madam, Kodambakkam,Chennai",560,8039.999999999999
"Mango Farm,Natesan Nagar, Madhavaram,Chennai","Mango Farm,Natesan Nagar, Madhavaram,Chennai",831,5420.0
"Srivatsam flats ,Sembiyan, Perambur,Chennai","Srivatsam flats ,Sembiyan, Perambur,Chennai",853,5860.0
Alacrity Sangath,"Velachery, Chennai",994,6040.0
"Periyar Nagar, Tiruvottiyur,Chennai","Periyar Nagar, Tiruvottiyur,Chennai",1800,6110.0
"Ishwarya malar apartments ,Kuppusamy Nagar, Ayanavaram,Chennai","Ishwarya malar apartments ,Kuppusamy Nagar, Ayanavaram,Chennai",547,7500.0
"Mylapore, Chennai","Mylapore, Chennai",730,6160.0
"JB HOMES,Vishnu Nagar, West Tambaram,Chennai","JB HOMES,Vishnu Nagar, West Tambaram,Chennai",920,3590.0
BSR Nerkundram,"Tirumalai Nagar, Koyambedu,Chennai",1400,8210.0
Mahindra Happinest,"Avadi, Chennai",667,4800.0
"Veppampattu, Chennai","Veppampattu, Chennai",1000,3900.0
Sravan Zebulon,"Ram Nagar, Madipakkam,Chennai",850,6410.0
"Leela Towers Kovilambakam,Rose Nagar, Kovilambakkam,Chennai","Leela Towers Kovilambakam,Rose Nagar, Kovilambakkam,Chennai",951,4730.0
My Homes Nakshatra,"Cheran Nagar, Perumbakkam,Chennai",1380,5580.0
"Annamalai Colony, Saligramam,Chennai","Annamalai Colony, Saligramam,Chennai",1196,9200.0
"Ambattur, Chennai","Ambattur, Chennai",4800,8750.0
Jubliee Residences,"Moolakazhani, Chennai",690,5290.0
Ashwanth Vedas,"Lakshmipuram, Kolathur,Chennai",982,6110.0
"Guduvancheri, Chennai","Guduvancheri, Chennai",600,6080.0
"Iswaryam Flats,VOC Nagar, Pammal,Chennai","Iswaryam Flats,VOC Nagar, Pammal,Chennai",770,3900.0
Lake View Apartment,"TNHB Layout, Mathur,Chennai",840,4700.0
TK Jasmine Grove,"Mahindra World City, Chennai",1650,2360.0
"Sai sivam,Thirumangalam, Anna Nagar West,Chennai","Sai sivam,Thirumangalam, Anna Nagar West,Chennai",1340,11420.0
Adityaram Nagar Phase 5,"Adityaram Nagar, Panaiyur,Chennai",3500,7430.0
CasaGrand Monte Carlo,"Gotha Medu Housing Board, Saidapet,Chennai",1881,12970.0
Pacifica Happiness Towers,"Padur, Chennai",2232,5600.0
Pacifica Aurum Villas,"Padur, Chennai",2117,6610.0
Godrej Palm Grove,"Chembarambakkam, Chennai",1426,6630.0
Jain Inseli Park,"Padur, Chennai",1121,5350.0
Pacifica Pride Towers,"Padur, Chennai",1261,5310.0
Prestige Courtyards by Prestige Estates Projects Ltd.,"Sholinganallur, Chennai",1689,7820.0
TVS Flourish ,"Padappai, Chennai",886,5080.0
Purva Windermere,"Pallikaranai, Chennai",620,7260.0
Golden Opulence by Golden Homes,"Poonamallee, Chennai",1093,5490.0
TVS Green Acres,"Unamancheri, Kolapakkam, Kolapakkam - Vandalur,Chennai",1047,6680.0
Casagrand Cherry Pick,"Arasankazhani, Perumbakkam,Chennai",1559,5450.0
MP Montana,"Manikandan Nagar, Thiruneermalai,Chennai",853,5860.0
SSM Nagar,"Perungalathur, Chennai",1317,3950.0
Alliance Galleria Residences,"Arulmurugan Nagar, Old Pallavaram,Chennai",618,8410.0
Golden Luxury Villas by Golden Homes,"Ekkatuthangal, Chennai",1200,24170.0
Aurum Villas,"Padur, Chennai",2150,7670.0
Mahindra Nova,"Chettipunyam, Chennai",604,4800.0
"Chettipunyam, Chennai","Chettipunyam, Chennai",836,4540.0
Kochar Neetu Arjun Garden,"Bharathi Nagar, Gerugambakkam,Chennai",1009,7130.0
CasaGrand Primera,"Periya Palayatamman Nagar, Manapakkam,Chennai",425,11060.0
MP Silver Bells,"Kundrathur, Chennai",711,6330.0
Casagrand Arena,"Oragadam Ambattur, Chennai",1545,8090.0
Silversky Lakeside3,"New Central Jail, Puzhal,Chennai",1551,5700.0
Casagrand Arena,"Oragadam Ambattur, Chennai",1352,5920.0
MP Silver Bells,"Kundrathur, Chennai",711,6330.0
MP Silver Bells,"Kundrathur, Chennai",711,6330.0
Sai Navarathinam,"Korattur Tank, Korattur,Chennai",961,7490.0
Jubliee Residences,"Moolakazhani, Chennai",482,4980.0
CasaGrand Savoye,"Karapakkam, Chennai",1037,6940.0
Pacifica Aurum Villas by Pacifica Companies,"Padur, Chennai",2200,6820.0
Karuppaswamy Tulsi Apartment,"Buddhar Colony, Porur,Chennai",1080,5090.0
Altis Ashraya,"MGR Nagar, Mangadu,Chennai",970,6490.0
KG Signature City,"Panneer Nagar, Mogappair,Chennai",620,6770.0
KG Earth Homes,"Siruseri, Chennai",570,3420.0
MP Urban,"Pasumpon Nagar, Anakaputhur,Chennai",940,5850.0
Casagrand Arena,"Oragadam Sriperambattur, Chennai",1497,6610.0
Akshaya Today,"Senganmal, Chennai",986,4260.0
REVOLUTION ONE by Urbanrise,"Padur, Chennai",353,5810.0
Akshaya Today,"Senganmal, Chennai",613,4400.0
Mahindra Nova,"Chettipunyam, Chennai",595,4030.000000000001
"Sai Enclave ,Kumananchavadi, Chennai","Sai Enclave ,Kumananchavadi, Chennai",710,5350.0
"ramus redidency,KK Nagar, Chennai","ramus redidency,KK Nagar, Chennai",980,11940.0
"Nedunkundram, Chennai","Nedunkundram, Chennai",650,9230.0
Twin Courtz,"Govinda Swamy Nagar, Perungudi,Chennai",1080,7010.0
"Housing ,TNHB Colony, Villivakkam,Chennai","Housing ,TNHB Colony, Villivakkam,Chennai",1400,5360.0
 Coral Enclave,"Periyar Nagar, Chromepet,Chennai",700,5430.0
"Kalyanapuram, Ambattur,Chennai","Kalyanapuram, Ambattur,Chennai",840,6550.0
"SRI DEVI NEDIL,Drivers Colony, T Nagar,Chennai","SRI DEVI NEDIL,Drivers Colony, T Nagar,Chennai",1987,19120.0
"TAPAS,T Nagar, Chennai","TAPAS,T Nagar, Chennai",1484,16850.0
"AKB home ,Selaiyur, Chennai","AKB home ,Selaiyur, Chennai",801,4160.0
"india builder,Kathiravan Colony, Anna Nagar,Chennai","india builder,Kathiravan Colony, Anna Nagar,Chennai",1461,15400.0
"Cheran Nagar, Perumbakkam,Chennai","Cheran Nagar, Perumbakkam,Chennai",1290,6590.0
"Guduvancheri, Chennai","Guduvancheri, Chennai",875,4000.0
"Pinnacle Crest,Sholinganallur, Chennai","Pinnacle Crest,Sholinganallur, Chennai",608,8220.0
Mahindra Happinest,"Avadi, Chennai",650,4620.0
CasaGrand The Address,"Karapakkam, Chennai",561,8910.0
VGN Varna Bhoomi,"Pudupakkam, Chennai",1250,5200.0
"Baskaran,Unamancheri, Kolapakkam, Kolapakkam - Vandalur,Chennai","Baskaran,Unamancheri, Kolapakkam, Kolapakkam - Vandalur,Chennai",1500,2670.0
"akshyam app,Irandam Kattalai, Thandalam,Chennai","akshyam app,Irandam Kattalai, Thandalam,Chennai",760,6320.0
Happy Homes Apartment,"Annanur, Ambattur,Chennai",1070,6070.0
Alliance Jasmine Springs,"Kelambakkam, Chennai",462,5360.0
"color avenue,Cheran Nagar, Perumbakkam,Chennai","color avenue,Cheran Nagar, Perumbakkam,Chennai",935,4280.0
Avighna Abode,"Balaji Nagar, Madipakkam,Chennai",865,6790.0
"Yeswanth Nagar, Madambakkam,Chennai","Yeswanth Nagar, Madambakkam,Chennai",830,4820.0
"Kalanikethan apartments ,Aspiran Garden Colony, Kilpauk,Chennai","Kalanikethan apartments ,Aspiran Garden Colony, Kilpauk,Chennai",1340,10820.0
"Thangam apartment ,Kathiravan Colony, Anna Nagar,Chennai","Thangam apartment ,Kathiravan Colony, Anna Nagar,Chennai",1600,10940.0
SSPDL Crecent,"Kelambakkam, Chennai",1237,3560.0
Isha Code Field Phase II,"Pudupakkam, Chennai",979,5820.0
 Anugraha Apartments,"Sendurpuram Extension, Iyyappanthangal,Chennai",556,5750.0
Chandran Casita,"Cheran Nagar, Perumbakkam,Chennai",840,5360.0
ProvidentCosmo City,"Pudupakkam, Chennai",1064,3850.0
"Akarsh flats,Anthony Nagar, Kolathur,Chennai","Akarsh flats,Anthony Nagar, Kolathur,Chennai",932,6970.0
"Jothi towers,Cheran Nagar, Perumbakkam,Chennai","Jothi towers,Cheran Nagar, Perumbakkam,Chennai",980,4590.0
VGN Royale,"Avadi, Chennai",902,4540.0
Lake View Apartment,"MGR Puram West, Ayappakkam,Chennai",949,4420.0
"Adayalampet, Maduravoyal,Chennai","Adayalampet, Maduravoyal,Chennai",1245,6200.0
Navins Kaushik,"Ramakrishna Puram, West Mambalam,Chennai",1269,12610.0
Ambient Apts,"United Colony, Kolathur,Chennai",2220,2930.0
MP Tilda,"Kundrathur, Chennai",480,3850.0
"Ashvin Apartment,Poonamallee, Chennai","Ashvin Apartment,Poonamallee, Chennai",900,5890.0
"Hi Fi Enclave ,Iyyappanthangal, Chennai","Hi Fi Enclave ,Iyyappanthangal, Chennai",1350,6370.0
"Ak beryl,Kamakshi Nagar, Anakaputhur,Chennai","Ak beryl,Kamakshi Nagar, Anakaputhur,Chennai",1238,5650.0
Embassy Residency,"Cheran Nagar, Perumbakkam,Chennai",1107,5150.0
"Sri Sadhan Aynambakkam ,Agraharam, Kil Ayanambakkam,Chennai","Sri Sadhan Aynambakkam ,Agraharam, Kil Ayanambakkam,Chennai",908,6060.0
AVR Coasta,"Mogappair, Chennai",1250,6000.0
"VEMBULI FLATS,Sambanthanar Nagar, Pammal,Chennai","VEMBULI FLATS,Sambanthanar Nagar, Pammal,Chennai",980,5510.0
Sri Chakra Flats,"Bangaru Colony, KK Nagar,Chennai",826,7750.0
Krishna Apartment,"Kalyanapuram, Ambattur,Chennai",840,7740.0
"NSB Homes,Saraswathipuram, Chromepet,Chennai","NSB Homes,Saraswathipuram, Chromepet,Chennai",900,5080.0
Akay Flats,"Kelambakkam, Chennai",690,5070.0
Plaza Pristine Acres Phase 2,"Nesamani Nagar, Perumbakkam,Chennai",915,5900.0
"Virutcham,Cheran Nagar, Perumbakkam,Chennai","Virutcham,Cheran Nagar, Perumbakkam,Chennai",800,5630.0
"Guna home,Dharan Singh Colony, Vadapalani,Chennai","Guna home,Dharan Singh Colony, Vadapalani,Chennai",2400,4170.0
Jain Sukriti,"Jeswant Nagar, Ambattur Industrial Estate,Chennai",608,7400.0
"Vigneshwara Nagar, Tharapakkam,Chennai","Vigneshwara Nagar, Tharapakkam,Chennai",900,5330.0
Adithi Homes,"Adayalampet, Maduravoyal,Chennai",840,6550.0
Golden Treasure,"Adayalampet, Maduravoyal,Chennai",1040,6350.0
Ozone Greens,"VGP Prabhu Nagar, Medavakkam,Chennai",800,3500.0
"Leelavathi Nagar, Tharapakkam,Chennai","Leelavathi Nagar, Tharapakkam,Chennai",1050,6480.0
SRN Flat,"Viswanatha Puram, Kodambakkam,Chennai",900,10670.0
Sterling Bhandari,"Goparasanallur, Kattupakkam,Chennai",941,8500.0
"JC shelters ,Perungalathur, Chennai","JC shelters ,Perungalathur, Chennai",822,4870.0
"Varadharajapuram, Chennai","Varadharajapuram, Chennai",1200,4170.0
Blossom Apartment,"Parangi Malai, St Thomas Mount,Chennai",874,6520.0
"Annai Arul Park View Apartment,Rajakilpakkam, Chennai","Annai Arul Park View Apartment,Rajakilpakkam, Chennai",1000,8400.0
Saradeuz Acropolis,"Arasankazhani, Sithalapakkam,Chennai",1129,4960.0
 Saideep Residency,"Virrugambakkam, Koyambedu,Chennai",920,7070.0
"Madambakkam, Chennai","Madambakkam, Chennai",773,5170.0
Optima Upgrade,"Avadi, Chennai",915,4920.0
Adithi Homes,"Adayalampet, Maduravoyal,Chennai",840,6670.0
"Ananthamaya apartment,Bhavani Nagar, Pozhichalur,Chennai","Ananthamaya apartment,Bhavani Nagar, Pozhichalur,Chennai",2400,1380.0
Sudharshan Homes,"Periyar Nagar, Velachery,Chennai",1152,9000.0
"Manthope Colony, Ashok Nagar,Chennai","Manthope Colony, Ashok Nagar,Chennai",960,10940.0
"Manthope Colony, Ashok Nagar,Chennai","Manthope Colony, Ashok Nagar,Chennai",960,10940.0
Adithi Homes,"Adayalampet, Maduravoyal,Chennai",855,6430.0
Adithi Homes,"Adayalampet, Maduravoyal,Chennai",890,6180.0
Krishna Flats,"Natesa Nagar, Virugambakkam,Chennai",1365,8420.0
"Yesodha Court,Vandalur R.F., Chennai","Yesodha Court,Vandalur R.F., Chennai",1010,3300.0
Vijay Raja Classic,"Unamancheri, Kolapakkam, Kolapakkam - Vandalur,Chennai",1734,6340.0
"English county,Vengambakkam, Chennai","English county,Vengambakkam, Chennai",1645,5230.0
"Vengambakkam, Chennai","Vengambakkam, Chennai",1850,5030.0
