Name,Location,Total_Area,Price_per_SQFT
"Vibhutipura, Bangalore","Vibhutipura, Bangalore",750,16000.0
Evershine Greenwood by Evershine Dwellings Pvt Ltd,"Mattanahalli, Bangalore",1044,3830.0
Nava Vedantha,"Govindpura, Dooravani Nagar,Bangalore",1168,11130.0
"5th Phase, JP Nagar,Bangalore","5th Phase, JP Nagar,Bangalore",2400,5420.0
"Thotadaguddadahall,Thotada Guddadhalli Village, Bangalore","Thotadaguddadahall,Thotada Guddadhalli Village, Bangalore",1600,4690.0
"Terracon Doctors Enclave, Chandapura,Bangalore","Terracon Doctors Enclave, Chandapura,Bangalore",1200,9170.0
MBR Steeple by MBR Homes Pvt. Ltd.,"Devarachikkana Halli, Bangalore",1205,4980.0
Mantri Splendor by Mantri Developers,"Kothanur, Bangalore",1230,6100.0
"R. T. Nagar, Bangalore","R. T. Nagar, Bangalore",3000,550000.0
"Hoskote, Bangalore","Hoskote, Bangalore",1500,3130.0
"Herohalli, Sunkadakatte,Bangalore","Herohalli, Sunkadakatte,Bangalore",1035,5310.0
Prestige Jindal City,"Anchepalya, Bangalore",607,7410.0
"Apartments ,Teachers Colony, Chandapura,Bangalore","Apartments ,Teachers Colony, Chandapura,Bangalore",1335,5170.0
"Royal Meridian Layout, Devarachikkana Halli,Bangalore","Royal Meridian Layout, Devarachikkana Halli,Bangalore",4000,3750.0
"Sahyadri Layout, Panduranga Nagar,Bangalore","Sahyadri Layout, Panduranga Nagar,Bangalore",2180,10320.0
"Chandra Layout Extension II Stage, Chandra Layout Extension,Bangalore","Chandra Layout Extension II Stage, Chandra Layout Extension,Bangalore",3700,6760.0
"anjanapura,Anjanapura Township, Bangalore","anjanapura,Anjanapura Township, Bangalore",2300,4260.0
"Sector 1, HSR Layout,Bangalore","Sector 1, HSR Layout,Bangalore",1800,8330.0
"Apartments ,Teachers Colony, Chandapura,Bangalore","Apartments ,Teachers Colony, Chandapura,Bangalore",1335,5170.0
"Nelamangala, Bangalore","Nelamangala, Bangalore",1850,6760.0
CMRS Sai Flora by CMRS Group,"Dodpete, Nagarathpet,Bangalore",1225,5710.0
"Bommasandra Industrial Area, Bommasandra,Bangalore","Bommasandra Industrial Area, Bommasandra,Bangalore",2690,5020.0
"Garebhavipalya, GB Palya,Bangalore","Garebhavipalya, GB Palya,Bangalore",2100,8570.0
"Lauryn Meenakshi lake view project ,Bannerughatta, Bangalore","Lauryn Meenakshi lake view project ,Bannerughatta, Bangalore",1000,1590.0
Prestige Jindal City,"Anchepalya, Bangalore",607,7410.0
Indya Estates The Greens,"Karpur, Bangalore",750,3730.0
Nirman Nisarga Nandana,"Jigani, Bangalore",600,333000.0
"Mahalakshmi layout ,Anekal, Bangalore","Mahalakshmi layout ,Anekal, Bangalore",1000,2000.0
"Biotech Park, Chandapura,Bangalore","Biotech Park, Chandapura,Bangalore",934,6420.0
"M Royal County,Bannerughatta, Bangalore","M Royal County,Bannerughatta, Bangalore",550,4360.0
"Kadugodi, Bangalore","Kadugodi, Bangalore",4200,2860.0
Sai Nivas,"Rukmani Colony, Sivanchetti Gardens,Bangalore",650,6920.0
"Maruthi Extension, Malur,Bangalore","Maruthi Extension, Malur,Bangalore",2150,3950.0
Provident Welworth City,"Bisuvanahalli, Bangalore",1075,8370.0
Welworth City,"Bisuvanahalli, Bangalore",1075,3630.0
"Thomas Town, Cooke Town,Bangalore","Thomas Town, Cooke Town,Bangalore",2500,15400.0
"M V Extenstion, Hoskote,Bangalore","M V Extenstion, Hoskote,Bangalore",1200,3750.0
"Kattanallur, Sannatammanahalli,Bangalore","Kattanallur, Sannatammanahalli,Bangalore",4650,4520.0
Laxmi Global Meadows,"Mailasandra, Bangalore",1165,4380.0
Manar Manha,"VGP Layout, Kudlu,Bangalore",1309,5040.0
BDA Flats,"Thippasandra, Bangalore",405,4940.0
"Srinivasa Nagar, Banashankari,Bangalore","Srinivasa Nagar, Banashankari,Bangalore",1350,27780.0
"Srinivasa Nagar, Banashankari,Bangalore","Srinivasa Nagar, Banashankari,Bangalore",1351,27760.0
"Srinivasa Nagar, Banashankari,Bangalore","Srinivasa Nagar, Banashankari,Bangalore",1352,27740.0
V K Siri Brundhavan,"Ilyas Nagar, Kumaraswamy Layout,Bangalore",2500,13000.0
"Masha allah ,Chinnapa Garden, Benson Town,Bangalore","Masha allah ,Chinnapa Garden, Benson Town,Bangalore",1400,8570.0
"Kempaihnagar ,Hurulichikanahalli, Bangalore","Kempaihnagar ,Hurulichikanahalli, Bangalore",1800,10280.0
"Madanayakahalli, Bangalore","Madanayakahalli, Bangalore",900,4670.0
"shiva apartment,Stage 2, Nagarbhavi,Bangalore","shiva apartment,Stage 2, Nagarbhavi,Bangalore",1089,3860.0
The Metropolitan Seegehalli MCHS Layout,"Seegehalli, Bangalore",1200,4330.0
"Kodipalya, Bangalore","Kodipalya, Bangalore",5200,1200.0
"Hongasandra, Bangalore","Hongasandra, Bangalore",1200,16670.0
"Chinnapa Garden, Benson Town,Bangalore","Chinnapa Garden, Benson Town,Bangalore",1520,16970.0
"Prakruthi Layout, HBR Layout,Bangalore","Prakruthi Layout, HBR Layout,Bangalore",2000,4750.0
"Omkar Nagar, Arakere,Bangalore","Omkar Nagar, Arakere,Bangalore",4000,9500.0
"Kudlu, Bangalore","Kudlu, Bangalore",1200,11670.0
"9th main 3rd stage pillanna garden shahi mansion appartment ,Stage 3, Kadugondanahalli,Bangalore","9th main 3rd stage pillanna garden shahi mansion appartment ,Stage 3, Kadugondanahalli,Bangalore",715,5590.0
"Kodathi, Bangalore","Kodathi, Bangalore",3600,4170.0
"Sulthangunta, Shivaji Nagar,Bangalore","Sulthangunta, Shivaji Nagar,Bangalore",525,10480.0
"KHB Colony, Vijayanagar,Bangalore","KHB Colony, Vijayanagar,Bangalore",400,12500.0
"Hosakerehalli ,Dattatreya Nagar, Hosakerehalli,Bangalore","Hosakerehalli ,Dattatreya Nagar, Hosakerehalli,Bangalore",5250,6860.0
"Kanaka Nagar, Hebbal,Bangalore","Kanaka Nagar, Hebbal,Bangalore",510,11760.0
"Shri Ravi enclave ,Mutharayana Nagar, Gnana Bharathi,Bangalore","Shri Ravi enclave ,Mutharayana Nagar, Gnana Bharathi,Bangalore",1295,4630.0
"Salarpuria Sattva Laurel Heights ,Mallasandra Village, T Dasarahalli,Bangalore","Salarpuria Sattva Laurel Heights ,Mallasandra Village, T Dasarahalli,Bangalore",1027,7300.0
"M Royal county,Bannerughatta, Bangalore","M Royal county,Bannerughatta, Bangalore",600,4000.0
"M Royal County,Bannerughatta, Bangalore","M Royal County,Bannerughatta, Bangalore",600,4000.0
"Malleswaram, Bangalore","Malleswaram, Bangalore",1145,12660.0
A - KV Yashus,"Srinivasa Nagar, Banashankari,Bangalore",1450,8620.0
"M Royal County,Bannerughatta, Bangalore","M Royal County,Bannerughatta, Bangalore",600,4000.0
"Bettadasanapura, Bangalore","Bettadasanapura, Bangalore",1200,5830.0
"Nandini Layout, Bangalore","Nandini Layout, Bangalore",2160,4540.0
"AECS Layout, Singasandra,Bangalore","AECS Layout, Singasandra,Bangalore",400,5000.0
"Hemmigepura, Bangalore","Hemmigepura, Bangalore",2400,5080.0
"Yelahanka, Bangalore","Yelahanka, Bangalore",4200,4760.0
Ankshu Ankshu Maple by TGR Projects India Pvt. Ltd,"Hampapura, Bangalore",1100,3180.0
"Andrahalli, Bangalore","Andrahalli, Bangalore",2400,3130.0
"Maruthi Extension, Malur,Bangalore","Maruthi Extension, Malur,Bangalore",2150,3720.0
Sangeetha Apartments,"Malleswaram, Bangalore",675,8890.0
"Chinnayanpalya, Wilson Garden,Bangalore","Chinnayanpalya, Wilson Garden,Bangalore",700,11140.0
"Doddabidrakallu, Bangalore","Doddabidrakallu, Bangalore",750,9730.0
"Bharat enclave 4,IInd Phase, Bharat Nagar,Bangalore","Bharat enclave 4,IInd Phase, Bharat Nagar,Bangalore",1531,4570.0
"kaveri association road,Subbannaiah Palya, Banaswadi,Bangalore","kaveri association road,Subbannaiah Palya, Banaswadi,Bangalore",2500,6000.0
"Kadubeesanahalli, Bangalore","Kadubeesanahalli, Bangalore",1130,7520.0
Royal Placid,"Sector 2, HSR Layout,Bangalore",2400,7500.0
Adithi Padmashree,"Shingapura, Bangalore",850,4120.0
Anvitha Delight,"Virgonagar Industrial Estate, Aavalahalli,Bangalore",1405,3560.0
"Self Financed Society 208 Colony, Yelahanka New Town,Bangalore","Self Financed Society 208 Colony, Yelahanka New Town,Bangalore",1000,12000.0
"Hampapura, Bangalore","Hampapura, Bangalore",2201,7500.0
"Mattanahalli, Bangalore","Mattanahalli, Bangalore",4900,13270.0
Bindu Amulya by Bindu Promoters & Developers,"Sunkadakatte, Bangalore",1535,5530.0
"Kuvempu Nagar, Dooravani Nagar,Bangalore","Kuvempu Nagar, Dooravani Nagar,Bangalore",1400,3570.0
"Hulimavu, Bangalore","Hulimavu, Bangalore",2700,7040.0
"Kereguddadahalli, Chikbanavara,Bangalore","Kereguddadahalli, Chikbanavara,Bangalore",6400,3520.0
Catalyst Shalom Palm Meadows,"Veeranjinappa Layout, Abbigere,Bangalore",3600,3750.0
"Hongasandra, Bangalore","Hongasandra, Bangalore",3500,5430.0
"Bande Mutt, Kengeri Satellite Town,Bangalore","Bande Mutt, Kengeri Satellite Town,Bangalore",3000,5000.0
"Mariyannapalya, Hebbal Kempapura,Bangalore","Mariyannapalya, Hebbal Kempapura,Bangalore",5500,5910.0
SS residency,"Maruthi Layout, Virupakshapura,Bangalore",1080,4630.0
"Narasimhaswamy Nagar, Laggere,Bangalore","Narasimhaswamy Nagar, Laggere,Bangalore",3600,6250.0
"Veer Sandra, Electronic City Phase II,Bangalore","Veer Sandra, Electronic City Phase II,Bangalore",6200,3790.0
Symbiosis Adithya by Symbiosis Homes,"KSRTC Colony, Shanti Nagar,Bangalore",1852,12960.0
Symbiosis Adithya by Symbiosis Homes,"KSRTC Colony, Shanti Nagar,Bangalore",1852,12960.0
Symbiosis Adithya by Symbiosis Homes,"KSRTC Colony, Shanti Nagar,Bangalore",1852,12960.0
"Saipoorna Heights,Somasundarapalya, Bangalore","Saipoorna Heights,Somasundarapalya, Bangalore",1680,4170.0
"Aishwarya Magn,LBS Nagar, Kaggadasapura,Bangalore","Aishwarya Magn,LBS Nagar, Kaggadasapura,Bangalore",1465,4440.0
"HAL Airport Area, HAL,Bangalore","HAL Airport Area, HAL,Bangalore",1060,4340.0
"Thotada Guddadhalli Village, Bangalore","Thotada Guddadhalli Village, Bangalore",2800,3930.0
"Kodathi, Bangalore","Kodathi, Bangalore",3600,4030.000000000001
Raffles Park,"Thirumalashettyhally, Bangalore",8699,6320.0
"Malleswaram, Bangalore","Malleswaram, Bangalore",5000,30000.0
"Malleswaram, Bangalore","Malleswaram, Bangalore",2000,5000.0
"M.C.Layout, Vijayanagar,Bangalore","M.C.Layout, Vijayanagar,Bangalore",5000,12000.0
"Kolar, Bangalore","Kolar, Bangalore",2400,3130.0
"Kolar, Bangalore","Kolar, Bangalore",2400,3250.0
DS - Max Silhoutte,"Bedarahalli, Bangalore",1150,6520.0
"Bismillahnagar, S.G. Palya,Bangalore","Bismillahnagar, S.G. Palya,Bangalore",900,11110.0
"Gandhi Nagar, Bangalore","Gandhi Nagar, Bangalore",3300,30300.0
"Biotech Park, Chandapura,Bangalore","Biotech Park, Chandapura,Bangalore",1000,4000.0
"Mutyalanagar,Gokula Extension, Mathikere,Bangalore","Mutyalanagar,Gokula Extension, Mathikere,Bangalore",400,5750.0
"Ganesha Block, Nandini Layout,Bangalore","Ganesha Block, Nandini Layout,Bangalore",1400,9290.0
"Syndicate Bank Employees Housing Society Layout, Bangalore","Syndicate Bank Employees Housing Society Layout, Bangalore",1410,7800.0
"Kothanur, Bangalore","Kothanur, Bangalore",2400,6670.0
"Devasthanagalu, Varthur,Bangalore","Devasthanagalu, Varthur,Bangalore",3400,5880.0
"Dasenahalli, Bangalore","Dasenahalli, Bangalore",400,2750.0
"Bande Mutt, Kengeri Satellite Town,Bangalore","Bande Mutt, Kengeri Satellite Town,Bangalore",1100,18180.0
"Nelamangala, Bangalore","Nelamangala, Bangalore",1200,5000.0
"Chandra Layout, Attiguppe,Bangalore","Chandra Layout, Attiguppe,Bangalore",1200,4000.0
Brick And Land Garden And Skies,"Thattanahalli, Bangalore",1074,5400.0
"Chandra Layout Extension II Stage, Chandra Layout Extension,Bangalore","Chandra Layout Extension II Stage, Chandra Layout Extension,Bangalore",4000,9000.0
"Anekal, Bangalore","Anekal, Bangalore",2300,2000.0
"Ardendale, Kannamangala,Bangalore","Ardendale, Kannamangala,Bangalore",1200,8750.0
Pristine Elegance,"Popular Colony, GB Palya,Bangalore",1800,4440.0
"Upkar Habitat,Attibele, Bangalore","Upkar Habitat,Attibele, Bangalore",1300,4230.0
"A Narayanapura, Mahadevapura,Bangalore","A Narayanapura, Mahadevapura,Bangalore",1800,7780.0
DS Max Splendid,"Phase 2, Bedarahalli,Bangalore",770,4540.0
VBHC Vaibhava,"Byagadadhenahalli, Bangalore",620,2980.0
"Choodasandra, Bangalore","Choodasandra, Bangalore",1070,7010.0
"Devanahalli, Bangalore","Devanahalli, Bangalore",600,1420.0
"Shampura, Kaval Bairasandra,Bangalore","Shampura, Kaval Bairasandra,Bangalore",1200,9170.0
"Someshwara Layout, Doddakannelli,Bangalore","Someshwara Layout, Doddakannelli,Bangalore",2200,4540.0
Everest and Kailash Apartments,"Malleswaram, Bangalore",1600,7500.0
Prestige IVY Terraces,"Kaverappa Layout, Kadubeesanahalli,Bangalore",1369,10740.0
"Magadi, Bangalore","Magadi, Bangalore",3000,0.0
"Hampapura, Bangalore","Hampapura, Bangalore",4200,2860.0
"Dr.Shivaram Karanth Nagar, Sampigehalli,Bangalore","Dr.Shivaram Karanth Nagar, Sampigehalli,Bangalore",1500,12000.0
Ivy Cottage,"Kaval Bairasandra, Bangalore",1250,4800.0
"Magadi, Bangalore","Magadi, Bangalore",1450,3790.0
"Venkatapura, Bangalore","Venkatapura, Bangalore",600,5000.0
"Magadi, Bangalore","Magadi, Bangalore",1450,3450.0
"Kithaganur Colony, Bangalore","Kithaganur Colony, Bangalore",1500,5670.0
"Bommanahalli, Bangalore","Bommanahalli, Bangalore",7000,3140.0
"Sector 3, HSR Layout,Bangalore","Sector 3, HSR Layout,Bangalore",1097,5470.0
"Adityanagar, Vidyaranyapura,Bangalore","Adityanagar, Vidyaranyapura,Bangalore",2400,4460.0
"Haralur Main Road,Ambalipura, Harlur,Bangalore","Haralur Main Road,Ambalipura, Harlur,Bangalore",1000,5500.0
"Sector 3, HSR Layout,Bangalore","Sector 3, HSR Layout,Bangalore",1073,5410.0
"Sector 3, HSR Layout,Bangalore","Sector 3, HSR Layout,Bangalore",1066,5630.0
"Vinobha Nagar, Kadugondanahalli,Bangalore","Vinobha Nagar, Kadugondanahalli,Bangalore",1350,10000.0
Nitesh Caesars Palace,"Bangalore City Municipal Corporation Layout, Bangalore",1507,6970.0
"Privat,Mallapur, Bangalore","Privat,Mallapur, Bangalore",3600,4440.0
"Kereguddadahalli, Chikbanavara,Bangalore","Kereguddadahalli, Chikbanavara,Bangalore",975,3280.0
"Athena Northstar,Stage 3, Indira Nagar,Bangalore","Athena Northstar,Stage 3, Indira Nagar,Bangalore",2159,15050.0
"Collindalez,Singasandra, Bangalore","Collindalez,Singasandra, Bangalore",1275,3920.0
Isha Misty Green,"Chansandra, Bangalore",1264,5930.0
MR MR Shine Woods by MR Homes,"Bannerughatta, Bangalore",700,5140.0
MR MR Shine Woods by MR Homes,"Bannerughatta, Bangalore",880,5000.0
Tata Value Homes Riva,"Nelamangala, Bangalore",796,5030.0
"Raghavendra Colony, Chamrajpet,Bangalore","Raghavendra Colony, Chamrajpet,Bangalore",7000,3710.0
"SAI GREEN MIST ,Yelachanayakanapura, Bangalore","SAI GREEN MIST ,Yelachanayakanapura, Bangalore",3089,3080.0
"Tippenahalli, Bangalore","Tippenahalli, Bangalore",1500,5000.0
"Garebhavipalya, GB Palya,Bangalore","Garebhavipalya, GB Palya,Bangalore",3200,3440.0
"Hampapura, Bangalore","Hampapura, Bangalore",1200,5000.0
Provident Welworth City by Provident Housing Limited,"Biotech Park, Chandapura,Bangalore",1087,4600.0
"Ardendale, Kannamangala,Bangalore","Ardendale, Kannamangala,Bangalore",2400,4380.0
Salarpuria Lancet by Sattva Group,"Sulthangunta, Shivaji Nagar,Bangalore",1050,7140.0
"Richard Xavier's Colony, Neelasandra,Bangalore","Richard Xavier's Colony, Neelasandra,Bangalore",525,1520.0
"Nelamangala, Bangalore","Nelamangala, Bangalore",850,4470.0
"Jakkuru Village, Jakkur,Bangalore","Jakkuru Village, Jakkur,Bangalore",7000,14290.0
"Vaishnavi building,8th Block, Jayanagar,Bangalore","Vaishnavi building,8th Block, Jayanagar,Bangalore",1900,6840.0
"Veer Sandra, Electronic City,Bangalore","Veer Sandra, Electronic City,Bangalore",800,4380.0
VBHC Palmhaven I,"Venkatapura, Bangalore",750,5200.0
"Artha Neo MidaS,Hoskote, Bangalore","Artha Neo MidaS,Hoskote, Bangalore",509,4520.0
VBHC Vaibhava,"Byagadadhenahalli, Bangalore",620,4350.0
"Gollarapalya, Bangalore","Gollarapalya, Bangalore",1000,5500.0
"Devasandra, Mathikere,Bangalore","Devasandra, Mathikere,Bangalore",2600,12500.0
Ajith Shinjana Pavitra Lotus by Ajith Builder,"Srinivasa Nagar, Banashankari,Bangalore",1250,6400.0
Bharath Enclave I,"Bedarahalli, Bangalore",1075,6330.0
"Bagli Fortuna,Bommasandra Industrial Area, Bommasandra,Bangalore","Bagli Fortuna,Bommasandra Industrial Area, Bommasandra,Bangalore",756,4630.0
"Narasimhaswamy Nagar, Laggere,Bangalore","Narasimhaswamy Nagar, Laggere,Bangalore",15000,4330.0
BM BM Lotus by BM Developers,"Mattanahalli, Bangalore",1458,5830.0
"Sundar Ram Shetty Nagar, Bilekahalli,Bangalore","Sundar Ram Shetty Nagar, Bilekahalli,Bangalore",4500,4000.0
"Roshan Nagar, Nayandahalli,Bangalore","Roshan Nagar, Nayandahalli,Bangalore",750,12670.0
"Sulthangunta, Shivaji Nagar,Bangalore","Sulthangunta, Shivaji Nagar,Bangalore",640,17190.0
"Electronic City Phase II, Bangalore","Electronic City Phase II, Bangalore",1120,35710.0
"Hurulichikanahalli, Bangalore","Hurulichikanahalli, Bangalore",2180,7800.0
"Royal Castle Apartment by Gopalan enterprise,Kodihalli, Bangalore","Royal Castle Apartment by Gopalan enterprise,Kodihalli, Bangalore",1075,8560.0
Estella Gracious by Estella Projects Pvt Ltd,"Industrial Layout, Kudlu Gate,Bangalore",1223,5560.0
"Shubhasree Apts,R. T. Nagar, Bangalore","Shubhasree Apts,R. T. Nagar, Bangalore",1050,6670.0
"Sulthangunta, Shivaji Nagar,Bangalore","Sulthangunta, Shivaji Nagar,Bangalore",910,16480.0
"Aditya nagar,Mohammed Sab Palya, Vidyaranyapura,Bangalore","Aditya nagar,Mohammed Sab Palya, Vidyaranyapura,Bangalore",2600,4620.0
SLV Pride,"6th Phase, JP Nagar,Bangalore",1045,4980.0
"Aisshwarya Magnus,Kaggadasapura, Bangalore","Aisshwarya Magnus,Kaggadasapura, Bangalore",1465,4440.0
"Lakshmi Layout, Arakere,Bangalore","Lakshmi Layout, Arakere,Bangalore",5200,5000.0
"Savannah Shristi,AMCO Colony, Koti Hosahalli,Bangalore","Savannah Shristi,AMCO Colony, Koti Hosahalli,Bangalore",1100,5270.0
Sai Nivas,"Cleveland Town, Frazer Town,Bangalore",600,8000.0
"Kanakadasa Layout, Lingarajapuram,Bangalore","Kanakadasa Layout, Lingarajapuram,Bangalore",760,11840.0
"Broadway road near raghavendra bakery,Sulthangunta, Shivaji Nagar,Bangalore","Broadway road near raghavendra bakery,Sulthangunta, Shivaji Nagar,Bangalore",900,9440.0
"Rukmani Colony, Sivanchetti Gardens,Bangalore","Rukmani Colony, Sivanchetti Gardens,Bangalore",2000,9500.0
Janapriya Heights by Janapriya Engineers Syndicate Builders,"Mallasandra, Bangalore",460,3800.0
"Yelachanayakanapura, Bangalore","Yelachanayakanapura, Bangalore",1100,6820.0
LN Varanasi Enclave,"Green Woods Layout, Varanasi,Bangalore",960,9380.0
DLF Newtown,"DLF Newtown, Akshayanagar,Bangalore",1756,5640.0
MM SKANDA MANOR APARTMENT,"Maruti Housing Society Layout, Subramanyapura,Bangalore",1240,6930.0
Aditya Pride,"8th Phase, JP Nagar,Bangalore",1090,4860.0
"Belur Nagasandra, Bellandur,Bangalore","Belur Nagasandra, Bellandur,Bangalore",1229,6260.0
"SOBHA Arena,Lingadheeranahalli, Bangalore","SOBHA Arena,Lingadheeranahalli, Bangalore",1850,6490.0
"M Vishveshvaraiah Nagar, Ramamurthy Nagar,Bangalore","M Vishveshvaraiah Nagar, Ramamurthy Nagar,Bangalore",2600,5770.0
Century Paradise,"Hulimavu, Bangalore",1002,5990.0
"Fortitudes Sarayu,K Channasandra, Bangalore","Fortitudes Sarayu,K Channasandra, Bangalore",1120,4640.0
"Yelahanka Airforce Base, Kattigenahalli,Bangalore","Yelahanka Airforce Base, Kattigenahalli,Bangalore",5500,4360.0
"Judicial Layout, Bangalore","Judicial Layout, Bangalore",2400,12500.0
Siri Crown,"Hanumatha Nagar, Sunkadakatte,Bangalore",1800,4170.0
"Binnipete, Kempapura Agrahara,Bangalore","Binnipete, Kempapura Agrahara,Bangalore",800,8130.000000000001
"Kommasandra, Bangalore","Kommasandra, Bangalore",1200,8330.0
"Dinnur, R. T. Nagar,Bangalore","Dinnur, R. T. Nagar,Bangalore",720,10420.0
"G V APARTMENT ,Chamrajpet, Bangalore","G V APARTMENT ,Chamrajpet, Bangalore",950,12630.0
Upkar Royal Garden Plots,"Hosur Municipality, Bangalore",1342,5220.0
"Present ,Nagavara Village, Nagavara,Bangalore","Present ,Nagavara Village, Nagavara,Bangalore",1045,4880.0
BSR Sai Nivas,"Kada Agrahara, Bangalore",1000,2900.0
"Lakshmipura, Bangalore","Lakshmipura, Bangalore",7200,152000.0
"naga residency,Rukmani Colony, Sivanchetti Gardens,Bangalore","naga residency,Rukmani Colony, Sivanchetti Gardens,Bangalore",975,10260.0
"Banashankari 3rd Stage, Banashankari,Bangalore","Banashankari 3rd Stage, Banashankari,Bangalore",700,5000.0
"Kamakshipalya, Bangalore","Kamakshipalya, Bangalore",550,15450.0
"Muthanallur, Bommasandra,Bangalore","Muthanallur, Bommasandra,Bangalore",2700,4070.000000000001
Prestige Casabella,"Vittasandra, Bangalore",1246,6580.0
Vars Silver Springs,"B Narayanapura, Mahadevapura,Bangalore",1080,4630.0
Amamyam,"Manganahalli, Bangalore",997,3510.0
"Shakthi Ganapathi Nagar, Basaveshwara Nagar,Bangalore","Shakthi Ganapathi Nagar, Basaveshwara Nagar,Bangalore",2400,17500.0
"Yesvantpur Industrial Suburb, Yeshwanthpur,Bangalore","Yesvantpur Industrial Suburb, Yeshwanthpur,Bangalore",1650,15150.0
"Baiyappanahalli, Bangalore","Baiyappanahalli, Bangalore",850,5290.0
"Mutharayana Nagar, Gnana Bharathi,Bangalore","Mutharayana Nagar, Gnana Bharathi,Bangalore",3300,7580.0
"Banashankari 3rd Stage, Banashankari,Bangalore","Banashankari 3rd Stage, Banashankari,Bangalore",650,5380.0
"Srirampuram, Bangalore","Srirampuram, Bangalore",722,23550.0
"Doddanekundi, Kartik Nagar,Bangalore","Doddanekundi, Kartik Nagar,Bangalore",2500,7000.0
"Jayanagar Housing Society Layout, Subramanyapura,Bangalore","Jayanagar Housing Society Layout, Subramanyapura,Bangalore",2500,11600.0
"Nimisha park view,Gokula Extension, Mathikere,Bangalore","Nimisha park view,Gokula Extension, Mathikere,Bangalore",1200,6250.0
"Kempegowda International Airport, Gangamuthanahalli,Bangalore","Kempegowda International Airport, Gangamuthanahalli,Bangalore",1800,1940.0
Kumar Princetown,"Shetty Halli, Jalahalli West,Bangalore",1100,6180.0
"Jayanagar, Bangalore","Jayanagar, Bangalore",1500,33330.0
Ekadantha Residency,"Doddakallasandra, Konanakunte,Bangalore",1000,4000.0
Shakti Sprinkle by Shakti Homes,"ITI Employees Layout, Mallathahalli,Bangalore",900,4440.0
Sparkle Realty The Marquise by Sparkle Realty,"Bannerughatta, Bangalore",1500,8670.0
"Acura Char Chand Manzil,Tasker Town, Shivaji Nagar,Bangalore","Acura Char Chand Manzil,Tasker Town, Shivaji Nagar,Bangalore",1020,9310.0
"Electronics City Phase 1, Electronic City,Bangalore","Electronics City Phase 1, Electronic City,Bangalore",1200,11500.0
"aishwarya splenders,6th Phase, JP Nagar,Bangalore","aishwarya splenders,6th Phase, JP Nagar,Bangalore",1300,5620.0
"Kengeri Hobli, Bangalore","Kengeri Hobli, Bangalore",12000,400000.0
"Prabhawati Wood,ITI Employees Layout, Mallathahalli,Bangalore","Prabhawati Wood,ITI Employees Layout, Mallathahalli,Bangalore",770,4160.0
"Vijaya Vittala Nagar, Nelamangala,Bangalore","Vijaya Vittala Nagar, Nelamangala,Bangalore",2400,12500.0
"Nagavara Village, Nagavara,Bangalore","Nagavara Village, Nagavara,Bangalore",3602,8610.0
"Anekal, Bangalore","Anekal, Bangalore",2074,3860.0
"Amrutahalli, Bangalore","Amrutahalli, Bangalore",1500,5330.0
"Kaval byrasandra ,Dinnur, R. T. Nagar,Bangalore","Kaval byrasandra ,Dinnur, R. T. Nagar,Bangalore",400,13250.0
"Kavalbyrasandra,Dinnur, R. T. Nagar,Bangalore","Kavalbyrasandra,Dinnur, R. T. Nagar,Bangalore",400,1320.0
Bhoo Shresta,"Jinke Thimmanahalli, NRI Layout,Bangalore",3000,4670.0
"Malleswaram, Bangalore","Malleswaram, Bangalore",1560,32050.0
"Pulkeshi Nagar, Frazer Town,Bangalore","Pulkeshi Nagar, Frazer Town,Bangalore",2500,6000.0
"Jnana Ganga Nagar, Bangalore","Jnana Ganga Nagar, Bangalore",1800,5610.0
"Veer Sandra, Electronic City,Bangalore","Veer Sandra, Electronic City,Bangalore",2225,5120.0
 BDA Gunjur Housing Project,"Gunjur, Bangalore",560,3570.0
"Rajiv Gandhi Nagar, Kodigehalli,Bangalore","Rajiv Gandhi Nagar, Kodigehalli,Bangalore",900,11110.0
"Cheemasandra, Bangalore","Cheemasandra, Bangalore",612,8990.0
"anu enclave ,Kamakshipalya, Bangalore","anu enclave ,Kamakshipalya, Bangalore",800,5000.0
"BEML Layout, Bagalur,Bangalore","BEML Layout, Bagalur,Bangalore",1200,15420.0
"Sathnur Village, Bangalore","Sathnur Village, Bangalore",1200,15420.0
"Thippasandra, Bangalore","Thippasandra, Bangalore",1200,16670.0
"Horamavu Agara, Horamavu,Bangalore","Horamavu Agara, Horamavu,Bangalore",800,9380.0
"Doddaballapura, Bangalore","Doddaballapura, Bangalore",9600,3130.0
" Greenvalley Apartments,Ganigarahalli, Bangalore"," Greenvalley Apartments,Ganigarahalli, Bangalore",1400,5710.0
"Veer Sandra, Electronic City,Bangalore","Veer Sandra, Electronic City,Bangalore",858,4310.0
"vaishnavi med,Himagiri Meadows, Kalena Agrahara,Bangalore","vaishnavi med,Himagiri Meadows, Kalena Agrahara,Bangalore",580,3450.0
"Thotada Guddadhalli Village, Bangalore","Thotada Guddadhalli Village, Bangalore",800,9380.0
"Mutharayana Nagar, Gnana Bharathi,Bangalore","Mutharayana Nagar, Gnana Bharathi,Bangalore",600,2750.0
VBHC Vaibhava,"Byagadadhenahalli, Bangalore",614,3580.0
Puravankara Purva Highlands,"Vakil Garden City, Bangalore",1160,4740.0
Ahad Excellencia,"Choodasandra, Bangalore",617,7290.0
BDA Gunjur Housing Project,"Gunjur, Bangalore",475,3370.0
