id,ascend_shuttle,in_orbit,descend_shuttle,hours_mission,total_hrs_sum,field21,eva_hrs_mission,total_eva_hrs
221,STS-5,STS-5,STS-5,122.0,122.0,0,0.0,0.0
222,STS-6,STS-6,STS-6,122.0,386.0,0,0.0,0.0
223,STS-51-D,STS-51-D,STS-51-D,236.0,386.0,0,0.0,0.0
224,STS-51-J,STS-51-J,STS-51-J,98.0,386.0,0,0.0,0.0
225,STS-6,STS-6,STS-6,120.0,120.0,1,3.83,3.83
226,STS-6,STS-6,STS-6,120.0,1281.0,1,3.87,25.9
227,STS-51F,STS-51F,STS-51F,191.0,1281.0,0,0.0,25.9
228,STS-33,STS-33,STS-33,168.0,1281.0,0,0.0,25.9
229,STS-44,STS-44,STS-44,167.0,1281.0,0,0.0,25.9
230,STS-61,STS-61,STS-61,260.0,1281.0,3,22.03,25.9
231,STS-80,STS-80,STS-80,424.0,1281.0,0,0.0,25.9
232,Soyuz T­8,Soyuz T­8,Soyuz T­8,48.0,9288.75,0,0.0,18.8
233,Soyuz TM­4,Mir,Soyuz TM­6,8782.0,9288.75,3,13.78,18.8
234,STS­63,STS­63,STS­63,198.0,9288.75,0,0.0,18.8
235,STS­86,Mir,STS­86,259.0,9288.75,1,5.02,18.8
236,STS-7,STS-7,STS-7,146.0,434.0,0,0.0,0.0
237,STS-51-A,STS-51-A,STS-51-A,191.0,434.0,0,0.0,0.0
238,STS-26,STS-26,STS-26,97.0,434.0,0,0.0,0.0
239,STS-7,STS-7,STS-7,146.0,316.0,0,0.0,0.0
240,STS-51-G,STS-51-G,STS-51-G,170.0,316.0,0,0.0,0.0
241,STS-7,STS-7,STS-7,147.0,343.0,0,0.0,0.0
242,STS-41-G,STS-41-G,STS-41-G,197.0,343.0,0,0.0,0.0
243,STS-7,STS-7,STS-7,147.0,3373.4,0,0.0,0.0
244,STS-51B,STS-51B,STS-51B,168.0,3373.4,0,0.0,0.0
245,STS-30,STS-30,STS-30,97.0,3373.4,0,0.0,0.0
246,STS-42,STS-42,STS-42,192.0,3373.4,0,0.0,0.0
247,Soyuz-TM21,Mir,STS-71,2760.0,3373.4,0,0.0,0.0
248,Soyuz T­9,Salyut 7,Soyuz T­9,3586.0,7434.03,2,5.86,5.86
249,Soyuz TM­3,Mir,Soyuz TM­3,3847.0,7434.03,0,0.0,5.86
250,STS-8,STS-8,STS-8,145.0,789.0,0,0.0,0.0
251,STS-51-G,STS-51-G,STS-51-G,170.0,789.0,0,0.0,0.0
252,STS-32,STS-32,STS-32,261.0,789.0,0,0.0,0.0
253,STS-49,STS-49,STS-49,213.0,789.0,0,0.0,0.0
254,STS-8,STS-8,STS-8,31.0,688.0,0,0.0,0.0
255,STS-61-A,STS-61-A,STS-61-A,168.0,688.0,0,0.0,0.0
256,STS-39,STS-39,STS-39,199.0,688.0,0,0.0,0.0
257,STS-53,STS-53,STS-53,175.0,688.0,0,0.0,0.0
258,STS-8,"STS-8, INSAT-1B",STS-8,145.0,336.0,0,0.0,12.0
259,STS-51A,STS-51A,STS-51A,191.0,336.0,2,12.0,12.0
260,STS-8,STS-8,STS-8,145.0,313.26,0,0.0,0.0
261,STS-51-B,STS-51-B,STS-51-B,169.0,313.26,0,0.0,0.0
262,STS-9,STS-9,STS-9,247.75,533.75,0,0.0,0.0
263,STS-61-B,STS-61-B,STS-61-B,165.0,533.75,0,0.0,0.0
264,STS-28,STS-28,STS-28,121.0,533.75,0,0.0,0.0
265,STS-9,STS-9,STS-9,248.0,463.0,0,0.0,0.0
266,STS-35,STS-35,STS-35,215.0,463.0,0,0.0,0.0
267,STS-9,STS-9,STS-9,247.94,462.31,0,0.0,0.0
268,STS-45,STS-45,STS-45,214.37,462.31,0,0.0,0.0
269,STS-9,STS-9,STS-9,248.0,1197.6,0,0.0,0.0
270,STS-42,STS-42,STS-42,193.0,1197.6,0,0.0,0.0
271,Soyuz TM-20,Euromir 94,Soyuz TM-19,756.6,1197.6,0,0.0,0.0
272,STS-41-B,STS-41-B,STS-41-B,191.25,868.13,0,0.0,0.0
273,STS-61-C,STS-61-C,STS-61-C,146.0,868.13,0,0.0,0.0
274,STS-27,STS-27,STS-27,105.0,868.13,0,0.0,0.0
275,STS-47,STS-47,STS-47,190.5,868.13,0,0.0,0.0
276,STS-71,STS-71,STS-71,235.38,868.13,0,0.0,0.0
277,STS-41-B,STS-41-B,STS-41-B,191.0,191.0,2,12.02,12.02
278,STS-51-L,explosion,explosion,0.0,191.0,0,0.0,12.02
279,STS-41 B,STS-41 B,STS-41 B,191.5,289.2,2,11.95,11.95
280,STS-51 J,STS-51 J,STS-51 J,97.7,289.2,0,0.0,11.95
281,STS-41-B,STS-41-B,STS-41-B,191.0,312.0,2,11.95,11.95
282,STS-31,STS-31,STS-31,121.0,312.0,0,0.0,11.95
283,Soyuz T­10,Salyut 7,Soyuz T­11,5686.0,8686.82,6,22.83,31.67
284,Soyuz T­15,Mir/Salyut 7,Soyuz T­15,3000.0,8686.82,2,8.83,31.67
285,Soyuz T-10,Salyut 7,Soyuz T-11,5686.0,5686.82,0,0.0,0.0
286,Soyuz T-10,Salyut 7,Soyuz T-11,4365.8,4365.8,0,0.0,0.0
287,STS-41-C,STS-41-C,STS-41-C,168.0,168.0,0,0.0,0.0
288,STS-51-L,explosion,explosion,0.0,168.0,0,0.0,0.0
289,STS-41-C,STS-41-C,STS-41-C,167.67,167.67,0,0.0,0.0
290,STS-41 C,STS-41 C,STS-41 C,167.0,337.95,2,10.13,21.89
291,STS-51I,STS-51I,STS-51I,171.0,337.95,2,11.76,21.89
292,STS-41C,STS-41C,STS-41C,168.0,411.0,2,10.1,10.1
293,STS-61C,STS-61C,STS-61C,146.0,411.0,0,0.0,10.1
294,STS-26,STS-26,STS-26,97.0,411.0,0,0.0,10.1
295,Soyuz T­12,Salyut 7,Soyuz T­12,283.0,283.23,0,0.0,0.0
296,STS-41-D,STS-41-D,STS-41-D,145.0,464.0,0,0.0,0.0
297,STS-29,STS-29,STS-29,120.0,464.0,0,0.0,0.0
298,STS-39,STS-39,STS-39,199.0,464.0,0,0.0,0.0
299,STS-41D,STS-41D,STS-41D,145.0,356.0,0,0.0,0.0
300,STS-27,STS-27,STS-27,105.0,356.0,0,0.0,0.0
301,STS-36,STS-36,STS-36,106.0,356.0,0,0.0,0.0
302,STS-41-D,STS-41-D,STS-41-D,144.0,768.0,0,0.0,0.0
303,STS-61-C,STS-61-C,STS-61-C,146.0,768.0,0,0.0,0.0
304,STS-31,STS-31,STS-31,121.0,768.0,0,0.0,0.0
305,STS-82,STS-82,STS-82,239.0,768.0,0,0.0,0.0
306,STS-93,STS-93,STS-93,118.0,768.0,0,0.0,0.0
307,STS-41-D,STS-41-D,STS-41-D,144.0,144.0,0,0.0,0.0
308,STS-51-L,explosion,explosion,0.0,144.0,0,0.0,0.0
309,STS-41D,STS-41D,STS-41D,144.98,478.29,0,0.0,0.0
310,STS-51D,STS-51D,STS-51D,168.15,478.29,0,0.0,0.0
311,STS-61B,STS-61B,STS-61B,165.16,478.29,0,0.0,0.0
312,STS-41-G,STS-41-G,STS-41-G,197.0,197.0,0,0.0,0.0
313,STS-41-G,STS-41-G,STS-41-G,197.5,532.0,1,3.45,3.45
314,STS-31,STS-31,STS-31,121.0,532.0,0,0.0,3.45
315,STS-45,STS-45,STS-45,213.5,532.0,0,0.0,3.45
316,STS-41-G,STS-41-G,STS-41-G,197.0,532.0,1,1.0,3.5
317,STS-28,STS-28,STS-28,121.0,532.0,0,0.0,3.5
318,STS-45,STS-45,STS-45,214.0,532.0,0,0.0,3.5
319,STS-41-G,STS-41-G,STS-41-G,197.67,197.67,0,0.0,0.0
320,STS-41-G,STS-41-G,STS-41-G,197.0,697.67,0,0.0,0.0
321,STS-77,STS-77,STS-77,240.67,697.67,0,0.0,0.0
322,STS-97,STS-97,STS-97,260.0,697.67,0,0.0,0.0
323,STS-51-A,STS-51-A,STS-51-A,191.0,724.45,0,0.0,0.0
324,STS-30,STS-30,STS-30,96.0,724.45,0,0.0,0.0
325,STS-53,STS-53,STS-53,175.0,724.45,0,0.0,0.0
326,STS-69,STS-69,STS-69,44.0,724.45,0,0.0,0.0
327,STS-51-A,STS-51-A,STS-51-A,191.0,191.0,0,0.0,0.0
328,STS-51-C,STS-51-C,STS-51-C,73.5,386.0,0,0.0,0.0
329,STS-31,STS-31,STS-31,121.0,386.0,0,0.0,0.0
330,STS-46,STS-46,STS-46,191.0,386.0,0,0.0,0.0
331,STS 51-C,STS 51-C,STS 51-C,74.0,74.0,0,0.0,0.0
332,STS 51-L,explosion,explosion,0.0,74.0,0,0.0,0.0
333,STS-51-C,STS-51-C,STS-51-C,73.5,490.0,0,0.0,0.0
334,STS-61-A,STS-61-A,STS-61-A,168.0,490.0,0,0.0,0.0
335,STS-29,STS-29,STS-29,120.0,490.0,0,0.0,0.0
336,STS-48,STS-48,STS-48,128.5,490.0,0,0.0,0.0
337,STS-51C,STS-51C,STS-51C,73.675,73.675,0,0.0,0.0
338,STS-51-D,STS-51-D,STS-51-D,167.0,286.0,0,0.0,0.0
339,STS-34,STS-34,STS-34,119.0,286.0,0,0.0,0.0
340,STS-51-D,STS-51-D,STS-51-D,168.0,722.0,0,0.0,0.0
341,STS-40,STS-40,STS-40,218.0,722.0,0,0.0,0.0
342,STS-58,STS-58,STS-58,336.0,722.0,0,0.0,0.0
343,STS-51-D,STS-51-D,STS-51-D,168.0,168.0,1,3.17,3.17
344,STS-51-D,STS-51-D,STS-51-D,167.0,1211.9,1,3.17,25.2
345,STS-35,STS-35,STS-35,215.0,1211.9,0,0.0,25.2
346,STS-46,STS-46,STS-46,191.0,1211.9,0,0.0,25.2
347,STS-61,STS-61,STS-61,259.0,1211.9,3,22.03,25.2
348,STS-75,STS-75,STS-75,377.0,1211.9,0,0.0,25.2
349,STS-51D,STS-51D,STS-51D,168.15,168.15,0,0.0,0.0
350,STS-51-B,STS-51-B,STS-51-B,168.0,455.0,0,0.0,0.0
351,STS-33,STS-33,STS-33,120.0,455.0,0,0.0,0.0
352,STS-44,STS-44,STS-44,166.0,455.0,0,0.0,0.0
353,STS-51-B,STS-51-B,STS-51-B,168.0,168.0,0,0.0,0.0
354,STS-51-B,STS-51-B,STS-51-B,168.525,168.525,0,0.0,0.0
355,STS-51B,STS-51B,STS-51B,168.525,168.525,0,0.0,0.0
356,STS-51-G,STS-51-G,STS-51-G,170.0,404.0,0,0.0,0.0
357,STS-36,STS-36,STS-36,106.0,404.0,0,0.0,0.0
358,STS-48,STS-48,STS-48,128.0,404.0,0,0.0,0.0
359,STS-51G,STS-51G,STS-51G,170.0,522.0,0,0.0,0.0
360,STS-61A,STS-61A,STS-61A,169.0,522.0,0,0.0,0.0
361,STS-37,STS-37,STS-37,143.0,522.0,0,0.0,0.0
362,STS-55,STS-55,STS-55,240.0,522.0,0,0.0,0.0
363,STS-51-G,STS-51-G,STS-51-G,169.0,5353.0,0,0.0,0.0
364,STS-34,STS-34,STS-34,119.0,5353.0,0,0.0,0.0
365,STS-43,STS-43,STS-43,213.0,5353.0,0,0.0,0.0
366,STS-58,STS-58,STS-58,336.0,5353.0,0,0.0,0.0
367,STS-79,Mir,STS-76,4516.0,5353.0,0,0.0,0.0
368,STS-51G,STS-51G,STS-51G,169.63,169.63,0,0.0,0.0
369,STS-51G,STS-51G,STS-51G,170.0,170.0,0,0.0,0.0
370,STS-51-F,STS-51-F,STS-51-F,190.0,190.0,0,0.0,0.0
371,STS-51-F,STS-51-F,STS-51-F,190.0,190.75,0,0.0,0.0
372,STS-51-F,STS-51-F,STS-51-F,190.0,190.0,0,0.0,0.0
373,STS-51-F,STS-51-F,STS-51-F,190.94,190.94,0,0.0,0.0
374,STS-51-F,STS-51-F,STS-51-F,190.94,190.94,0,0.0,0.0
375,STS-51-I,STS-51-I,STS-51-I,170.0,645.0,0,0.0,0.0
376,STS-26,STS-26,STS-26,97.0,645.0,0,0.0,0.0
377,STS-38,STS-38,STS-38,118.0,645.0,0,0.0,0.0
378,STS-61,STS-61,STS-61,260.0,645.0,0,0.0,0.0
379,STS-51-I,STS-51-I,STS-51-I,170.0,482.0,0,0.0,0.0
380,STS-26,STS-26,STS-26,97.0,482.0,0,0.0,0.0
381,STS-35,STS-35,STS-35,215.0,482.0,0,0.0,0.0
382,STS-51-I,STS-51-I,STS-51-I,170.0,170.0,2,11.76,11.76
383,Soyuz T­14,Salyut 7,Soyuz T­14,1557.0,1557.87,0,0.0,0.0
384,Soyuz T­14,Salyut 7,Soyuz T­14,1557.0,9395.87,0,0.0,10.2
385,Soyuz TM­7,Mir,Soyuz TM­7,3635.0,9395.87,1,6.0,10.2
386,Soyuz TM­13,Mir,Soyuz TM­13,4202.0,9395.87,1,4.2,10.2
387,STS-51-J,STS-51-J,STS-51-J,97.73,626.73,0,0.0,0.0
388,STS-30,STS-30,STS-30,97.0,626.73,0,0.0,0.0
389,STS-42,STS-42,STS-42,193.0,626.73,0,0.0,0.0
390,STS-57,STS-57,STS-57,239.0,626.73,0,0.0,0.0
391,STS-51-J,STS-51-J,STS-51-J,97.0,493.0,0,0.0,0.0
392,STS-26,STS-26,STS-26,97.0,493.0,0,0.0,0.0
393,STS-36,STS-36,STS-36,106.0,493.0,0,0.0,0.0
394,STS-42,STS-42,STS-42,193.0,493.0,0,0.0,0.0
395,STS-51-J,STS-51-J,STS-51-J,98.11,98.11,0,0.0,0.0
396,STS-61-A,STS-61-A,STS-61-A,168.0,1208.0,0,0.0,0.0
397,STS-32,STS-32,STS-32,261.0,1208.0,0,0.0,0.0
398,STS-50,STS-50,STS-50,331.0,1208.0,0,0.0,0.0
399,STS-71,STS-71,STS-71,235.0,1208.0,0,0.0,0.0
400,STS-89,STS-89,STS-89,211.0,1208.0,0,0.0,0.0
401,STS-61A,STS-61A,STS-61A,168.73,168.73,0,0.0,0.0
402,STS-61A,STS-61A,STS-61A,168.73,168.73,0,0.0,0.0
403,STS-61-A,STS-61-A,STS-61-A,168.73,168.73,0,0.0,0.0
404,STS-61B Atlantis,STS-61B Atlantis,STS-61B Atlantis,165.0,386.0,0,0.0,0.0
405,STS-40 Columbia,STS-40 Columbia,STS-40 Columbia,218.0,386.0,0,0.0,0.0
406,STS-61,STS-61,STS-61,165.0,1393.0,2,12.2,58.53
407,STS-27,STS-27,STS-27,105.0,1393.0,0,0.0,58.53
408,STS-37,STS-37,STS-37,143.0,1393.0,2,10.58,58.53
409,STS-55,STS-55,STS-55,239.0,1393.0,0,0.0,58.53
410,STS-74,STS-74,STS-74,129.0,1393.0,1,7.24999999999999,58.53
411,STS-88,STS-88,STS-88,283.0,1393.0,2,14.38,58.53
412,STS-110,STS-110,STS-110,259.0,1393.0,2,14.12,58.53
413,STS-30,STS-30,STS-30,97.0,262.0,0,0.0,0.0
414,STS-61-B,STS-61-B,STS-61-B,165.0,262.0,0,0.0,0.0
415,STS-61-B,STS-61-B,STS-61-B,165.0,165.0,2,12.17,12.17
416,STS-61-B,STS-61-B,STS-61-B,165.07,165.67,0,0.0,0.0
417,STS-61-C,STS-61-C,STS-61-C,74.0,680.0,0,0.0,0.0
418,STS-31,STS-31,STS-31,121.0,680.0,0,0.0,0.0
419,STS-45,STS-45,STS-45,214.0,680.0,0,0.0,0.0
420,STS-60,STS-60,STS-60,199.0,680.0,0,0.0,0.0
421,STS-61-C,STS-61-C,STS-61-C,146.0,1601.0,0,0.0,19.52
422,STS-34,STS-34,STS-34,120.0,1601.0,0,0.0,19.52
423,STS-46,STS-46,STS-46,191.0,1601.0,0,0.0,19.52
424,STS-60,STS-60,STS-60,199.0,1601.0,0,0.0,19.52
425,STS-75,STS-75,STS-75,377.0,1601.0,0,0.0,19.52
426,STS-91,STS-91,STS-91,236.0,1601.0,0,0.0,19.52
427,STS-111,STS-111,STS-111,333.0,1601.0,3,19.52,19.52
428,STS-61C,STS-61C,STS-61C,146.42,146.42,0,0.0,0.0
429,STS-61C,STS-61C,STS-61C,6.03,6.03,0,0.0,0.0
430,STS-51L,explosion,explosion,0.61,0.61,0,0.0,0.0
431,STS-51L,explosion,explosion,0.61,0.61,0,0.0,0.0
432,STS-51L,explosion,explosion,0.61,0.61,0,0.0,0.0
433,Soyuz TM­2,Mir,Soyuz TM­2,4179.0,4179.42,3,8.8,8.8
434,Soyuz TM­3,Mir EP,Soyuz TM­2,191.0,11737.55,0,0.0,19.65
435,Soyuz TM­8,Mir,Soyuz TM­8,3990.0,11737.55,5,17.6,19.65
436,Soyuz TM­14,Mir,Soyuz TM­14,3494.0,11737.55,1,2.05,19.65
437,Soyuz TM­20,Mir,Soyuz TM­20,4061.0,11737.55,0,0.0,19.65
438,Soyuz TM-3,Mir EP,Soyuz TM-2,191.0,191.0,0,0.0,0.0
439,Soyuz TM­4,Mir,Soyuz TM­6,8782.0,12984.47,3,13.78,34.38
440,Soyuz TM­11,Mir,Soyuz TM­11,4201.0,12984.47,4,20.75,34.38
441,Soyuz TM­4,Soyuz TM­4,Soyuz TM­3,189.0,189.97,0,0.0,0.0
442,Soyuz TM­5,Mir EP,Soyuz TM­4,236.0,15624.03,0,0.0,78.8
443,Soyuz TM­9,Mir,Soyuz TM­9,4297.0,15624.03,2,10.78,78.8
444,Soyuz TM­15,Mir,Soyuz TM­15,4533.0,15624.03,4,18.35,78.8
445,STS­71,Mir,Soyuz TM­21,1811.0,15624.03,3,14.53,78.8
446,Soyuz TM­26,Mir,Soyuz TM­26,4745.0,15624.03,7,89.13,78.8
447,Soyuz TM-5,Mir EP,Soyuz TM-4,47.0,47.0,0,0.0,0.0
448,Soyuz TM­6,Mir,Soyuz TM­7,5782.0,16288.53,0,0.0,0.0
449,Soyuz TM­18,Mir,Soyuz TM­20,10505.0,16288.53,0,0.0,0.0
450,Soyuz TM-6,Mir EP,Soyuz TM-5,212.0,212.0,0,0.0,0.0
451,Soyuz TM­7,Mir,Soyuz TM­7,3635.0,19281.65,0,0.0,41.43
452,Soyuz TM­12,Mir,Soyuz TM­13,7484.0,19281.65,7,34.48,41.43
453,STS­60,STS­60,STS­60,199.0,19281.65,0,0.0,41.43
454,STS­88,STS­88,STS­88,283.0,19281.65,0,0.0,41.43
455,Soyuz TM­31,ISS,STS­102,3383.0,19281.65,0,0.0,41.43
456,Soyuz TMA­6,ISS,Soyuz TMA­6,4296.0,19281.65,1,4.95,41.43
457,STS-27,STS-27,STS-27,105.0,320.16,0,0.0,0.0
458,STS-35,STS-35,STS-35,215.0,320.16,0,0.0,0.0
459,STS-27,STS-27,STS-27,105.0,3721.0,0,0.0,0.0
460,STS-41,STS-41,STS-41,98.0,3721.0,0,0.0,0.0
461,STS-52,STS-52,STS-52,237.0,3721.0,0,0.0,0.0
462,soyuz TM-31,ISS,STS-102,3281.0,3721.0,0,0.0,0.0
463,STS-29,STS-29,STS-29,120.0,3864.0,0,0.0,0.0
464,STS-33,STS-33,STS-33,120.0,3864.0,0,0.0,0.0
465,STS-43,STS-43,STS-43,213.0,3864.0,0,0.0,0.0
466,STS-58,STS-58,STS-58,336.0,3864.0,0,0.0,0.0
467,STS-79,Mir,STS-81,3077.0,3864.0,0,0.0,0.0
468,STS-29,STS-29,STS-29,119.0,237.0,0,0.0,0.0
469,STS-38,STS-38,STS-38,118.0,237.0,0,0.0,0.0
470,STS-29,STS-29,STS-29,120.0,338.0,0,0.0,0.0
471,STS-40,STS-40,STS-40,218.0,338.0,0,0.0,0.0
472,STS-30,STS-30,STS-30,97.0,789.76,0,0.0,26.02
473,STS-47,STS-47,STS-47,190.0,789.76,0,0.0,26.02
474,STS-64,STS-64,STS-64,262.0,789.76,1,6.85,26.02
475,STS-82,STS-82,STS-82,239.0,789.76,3,19.17,26.02
476,STS-28,STS-28,STS-28,120.0,813.0,0,0.0,0.0
477,STS-41,STS-41,STS-41,96.0,813.0,0,0.0,0.0
478,STS-50,STS-50,STS-50,336.0,813.0,0,0.0,0.0
479,STS-64,STS-64,STS-64,242.0,813.0,0,0.0,0.0
480,STS-28,STS-28,STS-28,121.0,334.0,0,0.0,0.0
481,STS-43,STS-43,STS-43,213.0,334.0,0,0.0,0.0
482,STS-28,STS-28,STS-28,121.0,249.0,0,0.0,0.0
483,STS-48,STS-48,STS-48,128.0,249.0,0,0.0,0.0
484,STS-34,STS-34,STS-34,119.0,119.0,0,0.0,0.0
485,STS-34,STS-34,STS-34,120.0,686.0,0,0.0,0.0
486,STS-50,STS-50,STS-50,331.0,686.0,0,0.0,0.0
487,STS-71,STS-71,STS-71,235.0,686.0,0,0.0,0.0
488,STS-33,STS-33,STS-33,120.0,120.0,0,0.0,0.0
489,STS-33,STS-33,STS-33,120.0,975.23,0,0.0,21.18
490,STS-49,STS-49,STS-49,213.0,975.23,1,7.75,21.18
491,STS-61,STS-61,STS-61,264.0,975.23,2,13.43,21.18
492,STS-73,STS-73,STS-73,360.0,975.23,0,0.0,21.18
493,STS-32,STS-32,STS-32,261.0,1594.38,0,0.0,0.0
494,STS-52,STS-52,STS-52,236.0,1594.38,0,0.0,0.0
495,STS-63,STS-63,STS-63,198.0,1594.38,0,0.0,0.0
496,STS-86,STS-86,STS-86,259.0,1594.38,0,0.0,0.0
497,STS-102,STS-102,STS-102,307.0,1594.38,0,0.0,0.0
498,STS-113,STS-113,STS-113,330.0,1594.38,0,0.0,0.0
499,STS-32,STS-32,STS-32,261.0,1341.8,0,0.0,0.0
500,STS-46,STS-46,STS-46,191.0,1341.8,0,0.0,0.0
501,STS-62,STS-62,STS-62,335.0,1341.8,0,0.0,0.0
502,STS-81,STS-81,STS-81,244.0,1341.8,0,0.0,0.0
503,STS-98,STS-98,STS-98,309.0,1341.8,0,0.0,0.0
504,STS-32,STS-32,STS-32,261.0,713.0,0,0.0,5.83
505,STS-43,STS-43,STS-43,213.0,713.0,0,0.0,5.83
506,STS-57,STS-57,STS-57,239.0,713.0,1,5.83,5.83
507,Soyuz TM­9,Mir,Soyuz TM­9,4297.0,4297.28,2,10.78,10.78
508,STS-36,STS-36,STS-36,106.0,825.0,0,0.0,0.0
509,STS-54,STS-54,STS-54,143.0,825.0,0,0.0,0.0
510,STS-62,STS-62,STS-62,335.0,825.0,0,0.0,0.0
511,STS-77,STS-77,STS-77,241.0,825.0,0,0.0,0.0
512,STS-36,STS-36,STS-36,106.0,654.85,0,0.0,17.7
513,STS-49,STS-49,STS-49,213.0,654.85,3,17.7,17.7
514,STS-62,STS-62,STS-62,335.0,654.85,0,0.0,17.7
515,Soyuz TM­10,Mir,Soyuz TM­10,3140.0,7437.3,1,2.75,12.72
516,Soyuz TM­16,Mir,Soyuz TM­16,4296.0,7437.3,2,9.97,12.72
517,STS-41,STS-41,STS-41,98.0,910.0,0,0.0,0.0
518,STS-53,STS-53,STS-53,175.0,910.0,0,0.0,0.0
519,STS-65,STS-65,STS-65,354.0,910.0,0,0.0,0.0
520,STS-88,STS-88,STS-88,283.0,910.0,0,0.0,0.0
521,STS-41,STS-41,STS-41,98.0,311.0,0,0.0,0.0
522,STS-49,STS-49,STS-49,213.0,311.0,0,0.0,0.0
523,STS-41,STS-41,STS-41,98.0,814.0,0,0.0,30.15
524,STS-49,STS-49,STS-49,213.0,814.0,2,16.72,30.15
525,STS-61,STS-61,STS-61,260.0,814.0,2,13.43,30.15
526,STS-79,STS-79,STS-79,243.0,814.0,0,0.0,30.15
527,STS-38,STS-38,STS-38,118.0,3447.0,0,0.0,5.07
528,STS-51,STS-51,STS-51,236.0,3447.0,0,0.0,5.07
529,STS-105,ISS,STS-108,3093.0,3447.0,1,5.07,5.07
530,STS-38,STS-38,STS-38,117.0,710.0,0,0.0,6.85
531,STS-50,STS-50,STS-50,331.0,710.0,0,0.0,6.85
532,STS-64,STS-64,STS-64,262.0,710.0,3,6.85,6.85
533,STS-38,STS-38,STS-38,118.0,581.5,0,0.0,0.0
534,STS-48,STS-48,STS-48,128.5,581.5,0,0.0,0.0
535,STS-62,STS-62,STS-62,335.0,581.5,0,0.0,0.0
536,STS-35,STS-35,STS-35,215.15,614.69,0,0.0,0.0
537,STS-67,STS-67,STS-67,399.54,614.69,0,0.0,0.0
538,STS-35,STS-35,STS-35,215.15,614.69,0,0.0,0.0
539,STS-67,STS-67,STS-67,399.54,614.69,0,0.0,0.0
540,Soyuz TM­11,Mir,Soyuz TM­11,4201.0,13338.55,4,20.75,38.05
541,Soyuz TM­18,Mir,Soyuz TM­18,4368.0,13338.55,0,0.0,38.05
542,Soyuz TM­29,Mir,Soyuz TM­29,4532.0,13338.55,3,17.47,38.05
543,Soyuz TM­33,Soyuz TM­33,Soyuz TM­32,236.208,13338.55,0,0.0,38.05
544,Soyuz TM-11,Soyuz TM-11,Soyuz TM-10,189.9,189.9,0,0.0,0.0
545,STS-37,STS-37,STS-37,143.0,561.0,0,0.0,0.0
546,STS-56,STS-56,STS-56,222.0,561.0,0,0.0,0.0
547,STS-74,STS-74,STS-74,196.0,561.0,0,0.0,0.0
548,STS-37,STS-37,STS-37,143.5,917.99,0,0.0,10.23
549,STS-59,STS-59,STS-59,269.82,917.99,0,0.0,10.23
550,STS-76,STS-76,STS-76,221.67,917.99,1,6.03,10.23
551,STS-108,STS-108,STS-108,283.0,917.99,1,4.2,10.23
552,STS-37,STS-37,STS-37,143.5,847.0,2,10.82,10.82
553,STS-47,STS-47,STS-47,190.5,847.0,0,0.0,10.82
554,STS-59,STS-59,STS-59,270.0,847.0,0,0.0,10.82
555,STS-79,STS-79,STS-79,243.0,847.0,0,0.0,10.82
556,STS-39,STS-39,STS-39,199.0,461.0,0,0.0,0.0
557,STS-64,STS-64,STS-64,262.0,461.0,0,0.0,0.0
558,STS-39,STS-39,STS-39,199.0,816.0,0,0.0,18.49
559,STS-54,STS-54,STS-54,143.0,816.0,1,4.47,18.49
560,STS-71,STS-71,STS-71,235.0,816.0,0,0.0,18.49
561,STS-82,STS-82,STS-82,239.0,816.0,2,14.02,18.49
562,STS-39,STS-39,STS-39,199.0,604.0,0,0.0,0.0
563,STS-54,STS-54,STS-54,143.0,604.0,0,0.0,0.0
564,STS-66,STS-66,STS-66,262.0,604.0,0,0.0,0.0
565,STS-39,STS-39,STS-39,192.0,436.3,0,0.0,0.0
566,STS-52,STS-52,STS-52,240.0,436.3,0,0.0,0.0
567,STS-39,STS-39,STS-39,199.0,765.0,0,0.0,17.7
568,STS-49,STS-49,STS-49,213.0,765.0,3,17.7,17.7
569,STS-65,STS-65,STS-65,353.0,765.0,0,0.0,17.7
570,Soyuz TM­12,Mir,Soyuz TM­12,3471.0,3471.35,6,32.28,32.28
571,Soyuz TM-12,Soyuz TM-12,Soyuz TM-11,189.22,189.22,0,0.0,0.0
572,STS-40,STS-40,STS-40,218.0,487.0,0,0.0,0.0
573,STS-59,STS-59,STS-59,269.0,487.0,0,0.0,0.0
574,STS-40,STS-40,STS-40,218.0,1511.0,0,0.0,7.92
575,STS-52,STS-52,STS-52,236.0,1511.0,0,0.0,7.92
576,STS-67,STS-67,STS-67,399.0,1511.0,0,0.0,7.92
577,STS-80,STS-80,STS-80,423.0,1511.0,0,0.0,7.92
578,STS-96,STS-96,STS-96,235.0,1511.0,1,7.92,7.92
579,STS-40,STS-40,STS-40,218.0,218.0,0,0.0,0.0
580,STS-40,STS-40,STS-40,218.37,218.37,0,0.0,0.0
581,STS-43,STS-43,STS-43,213.0,965.0,0,0.0,0.0
582,STS-52,STS-52,STS-52,237.0,965.0,0,0.0,0.0
583,STS-68,STS-68,STS-68,270.0,965.0,0,0.0,0.0
584,STS-81,STS-81,STS-81,245.0,965.0,0,0.0,0.0
585,STS-48,STS-48,STS-48,120.0,312.0,0,0.0,0.0
586,STS-60,STS-60,STS-60,192.0,312.0,0,0.0,0.0
587,Soyuz TM­13,Mir,Soyuz TM­12,190.0,190.2,0,0.0,0.0
