id,ascend_shuttle,in_orbit,descend_shuttle,hours_mission,total_hrs_sum,field21,eva_hrs_mission,total_eva_hrs
1258,Soyuz MS-12,ISS,Soyuz MS-12,4863.75,8995.75,1,6.0,6.0
1259,Soyuz MS,ISS,Soyuz MS,6902.35,6902.35,0,0.0,0.0
1260,Soyuz MS,ISS,Soyuz MS,6902.35,6902.35,2,12.77,12.77
1261,Shenzhou 11,Shenzhou 11,Shenzhou 11,774.5,774.5,0,0.0,0.0
1262,Soyuz MS-02,ISS,Soyuz MS-02,10383.25,10383.25,0,0.0,0.0
1263,Soyuz MS-03,ISS,Soyuz MS-03,4721.83,15105.08,2,13.0,13.0
1264,Soyuz MS-04,ISS,Soyuz MS-04,3258.13,3258.13,2,7.0,7.0
1265,Soyuz MS-06,ISS,Soyuz MS-06,4037.23,4037.23,4,27.0,27.0
1266,Soyuz MS-07,ISS,Soyuz MS-07,4037.0,4037.0,1,7.4,7.4
1267,Soyuz MS-07,ISS,Soyuz MS-07,4037.0,4037.0,1,5.95,5.95
1268,Soyuz MS-09,ISS,Soyuz MS-09,4722.0,4722.0,2,15.52,15.52
1269,Soyuz MS-09,ISS,Soyuz MS-09,4722.0,4722.0,0,0.0,0.0
1270,Soyuz MS-10,aborted,aborted,0.0,4864.0,3,19.93,19.93
1271,Soyuz MS-12,ISS,Soyuz MS-12,4864.0,4864.0,3,19.93,19.93
1272,Soyuz MS-11,ISS,Soyuz MS-11,4887.0,4887.0,1,6.5,6.5
1273,Soyuz MS-11,ISS,Soyuz MS-11,4887.0,4887.0,2,13.13,13.13
1274,Soyuz MS-12,ISS,not completed yet,7372.3,7372.3,4,27.8,27.8
1275,Soyuz MS-13,ISS,not completed yet,4303.08,4303.08,6,39.52,39.52
1276,Soyuz MS-15,ISS,not completed yet,2697.6,2697.6,1,7.28,7.28
1277,Soyuz MS-15,ISS,Soyuz MS-12,189.0,189.0,0,0.0,0.0
