Organisation,Location
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France"
Martin Marietta,"SLC-4W, Vandenberg SFB, California, USA"
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia"
NASA,"LC-39A, Kennedy Space Center, Florida, USA"
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
ISAS,"Mu Pad, Uchinoura Space Center, Japan"
Martin Marietta,"SLC-40, Cape Canaveral SFS, Florida, USA"
RVSN USSR,"Site 200/40, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 86/1, Kapustin Yar, Russia"
RVSN USSR,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
General Dynamics,"SLC-3W, Vandenberg SFB, California, USA"
Martin Marietta,"SLC-4E, Vandenberg SFB, California, USA"
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
US Air Force,"SLC-17A, Cape Canaveral SFS, Florida, USA"
Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France"
NASA,"LC-39A, Kennedy Space Center, Florida, USA"
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia"
US Air Force,"SLC-5, Vandenberg SFB, California, USA"
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia"
NASA,"LC-39A, Kennedy Space Center, Florida, USA"
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia"
US Air Force,"SLC-17B, Cape Canaveral SFS, Florida, USA"
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia"
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China"
General Dynamics,"SLC-3W, Vandenberg SFB, California, USA"
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 200/40, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia"
NASA,"LC-39A, Kennedy Space Center, Florida, USA"
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia"
Martin Marietta,"SLC-4W, Vandenberg SFB, California, USA"
RVSN USSR,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia"
US Air Force,"SLC-17A, Cape Canaveral SFS, Florida, USA"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France"
MHI,"LA-Y1, Tanegashima Space Center, Japan"
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 200/40, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 86/1, Kapustin Yar, Russia"
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 107/1, Kapustin Yar, Russia"
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
Martin Marietta,"SLC-4E, Vandenberg SFB, California, USA"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
General Dynamics,"SLC-3W, Vandenberg SFB, California, USA"
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
General Dynamics,"SLC-36B, Cape Canaveral SFS, Florida, USA"
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 86/1, Kapustin Yar, Russia"
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia"
Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France"
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 200/40, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia"
US Air Force,"SLC-4W, Vandenberg SFB, California, USA"
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
Martin Marietta,"SLC-40, Cape Canaveral SFS, Florida, USA"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
CASC,"LC-3, Xichang Satellite Launch Center, China"
NASA,"LC-39A, Kennedy Space Center, Florida, USA"
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 200/40, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia"
ESA,"ELA-1, Guiana Space Centre, French Guiana, France"
RVSN USSR,"Site 200/40, Baikonur Cosmodrome, Kazakhstan"
US Air Force,"SLC-2W, Vandenberg SFB, California, USA"
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
ISAS,"Mu Pad, Uchinoura Space Center, Japan"
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia"
General Dynamics,"SLC-3E, Vandenberg SFB, California, USA"
NASA,"LC-39A, Kennedy Space Center, Florida, USA"
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia"
Martin Marietta,"SLC-40, Cape Canaveral SFS, Florida, USA"
CASC,"LC-3, Xichang Satellite Launch Center, China"
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
MHI,"LA-Y1, Tanegashima Space Center, Japan"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 200/40, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 86/1, Kapustin Yar, Russia"
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
NASA,"LC-39A, Kennedy Space Center, Florida, USA"
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
General Dynamics,"SLC-3W, Vandenberg SFB, California, USA"
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
ESA,"ELA-1, Guiana Space Centre, French Guiana, France"
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 200/40, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
US Air Force,"SLC-17A, Cape Canaveral SFS, Florida, USA"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia"
US Air Force,"SLC-17B, Cape Canaveral SFS, Florida, USA"
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 107/1, Kapustin Yar, Russia"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
NASA,"LC-39A, Kennedy Space Center, Florida, USA"
RVSN USSR,"Site 200/40, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia"
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China"
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia"
MHI,"LA-Y1, Tanegashima Space Center, Japan"
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia"
Martin Marietta,"SLC-4W, Vandenberg SFB, California, USA"
US Air Force,"SLC-17A, Cape Canaveral SFS, Florida, USA"
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
General Dynamics,"SLC-3W, Vandenberg SFB, California, USA"
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
US Air Force,"SLC-17B, Cape Canaveral SFS, Florida, USA"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
US Air Force,"SLC-5, Vandenberg SFB, California, USA"
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia"
Martin Marietta,"SLC-4E, Vandenberg SFB, California, USA"
NASA,"LC-39A, Kennedy Space Center, Florida, USA"
ESA,"ELA-1, Guiana Space Centre, French Guiana, France"
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia"
General Dynamics,"SLC-3E, Vandenberg SFB, California, USA"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 200/40, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia"
US Air Force,"SLC-2W, Vandenberg SFB, California, USA"
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 107/1, Kapustin Yar, Russia"
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia"
General Dynamics,"SLC-36A, Cape Canaveral SFS, Florida, USA"
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 86/1, Kapustin Yar, Russia"
US Air Force,"SLC-17A, Cape Canaveral SFS, Florida, USA"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia"
ISRO,"SLV LP, Satish Dhawan Space Centre, India"
US Air Force,"SLC-4W, Vandenberg SFB, California, USA"
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia"
US Air Force,"SLC-17B, Cape Canaveral SFS, Florida, USA"
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 200/40, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia"
NASA,"LC-39A, Kennedy Space Center, Florida, USA"
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia"
General Dynamics,"SLC-3W, Vandenberg SFB, California, USA"
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 86/1, Kapustin Yar, Russia"
RVSN USSR,"Site 200/40, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
ISAS,"Mu Pad, Uchinoura Space Center, Japan"
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
General Dynamics,"SLC-3E, Vandenberg SFB, California, USA"
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
MHI,"LA-Y1, Tanegashima Space Center, Japan"
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
US Air Force,"SLC-2W, Vandenberg SFB, California, USA"
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
General Dynamics,"SLC-3W, Vandenberg SFB, California, USA"
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
Martin Marietta,"SLC-4E, Vandenberg SFB, California, USA"
NASA,"LC-39A, Kennedy Space Center, Florida, USA"
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
Martin Marietta,"SLC-40, Cape Canaveral SFS, Florida, USA"
US Air Force,"SLC-17B, Cape Canaveral SFS, Florida, USA"
RVSN USSR,"Site 107/1, Kapustin Yar, Russia"
RVSN USSR,"Site 200/40, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia"
General Dynamics,"SLC-36B, Cape Canaveral SFS, Florida, USA"
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 200/40, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China"
ESA,"ELA-1, Guiana Space Centre, French Guiana, France"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan"
MHI,"LA-Y1, Tanegashima Space Center, Japan"
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
US Air Force,"SLC-17B, Cape Canaveral SFS, Florida, USA"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 107/1, Kapustin Yar, Russia"
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 200/40, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia"
US Air Force,"SLC-2W, Vandenberg SFB, California, USA"
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia"
NASA,"LC-39A, Kennedy Space Center, Florida, USA"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia"
US Air Force,"SLC-17A, Cape Canaveral SFS, Florida, USA"
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 86/1, Kapustin Yar, Russia"
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
Martin Marietta,"SLC-4E, Vandenberg SFB, California, USA"
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 107/1, Kapustin Yar, Russia"
RVSN USSR,"Site 200/40, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
US Air Force,"SLC-17A, Cape Canaveral SFS, Florida, USA"
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
NASA,"LC-39A, Kennedy Space Center, Florida, USA"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
Martin Marietta,"SLC-40, Cape Canaveral SFS, Florida, USA"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
General Dynamics,"SLC-36A, Cape Canaveral SFS, Florida, USA"
RVSN USSR,"Site 107/1, Kapustin Yar, Russia"
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
US Air Force,"SLC-17A, Cape Canaveral SFS, Florida, USA"
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia"
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 200/40, Baikonur Cosmodrome, Kazakhstan"
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
