Organisation,Details,Rocket_Status,Price
CASC,Long March 4C | Yaogan 19,Active,64.68
Northrop,Minotaur I | ORS-3,Active,40.0
ULA,Atlas V 401 | MAVEN,Active,109.0
Roscosmos,Proton-M/Briz-M | Raduga-1M n°03,Active,65.0
Roscosmos,Soyuz FG | Soyuz TMA-11M,Retired,
ISRO,PSLV-XL | Manglayaan-1,Active,31.0
CASC,Long March 2C | Yaogan 18,Active,30.8
ILS,Proton-M/Briz-M | Sirius FM-6,Active,65.0
CASC,Long March 4B | Shijian-16 01,Active,64.68
ILS,Proton-M/Briz-M | Astra 2E,Active,65.0
SpaceX,Falcon 9 Block 2 (v1.1) | CASSIOPE,Retired,56.5
Roscosmos,Soyuz FG | Soyuz TMA-10M,Retired,
CASIC,Kuaizhou 1 | Kuaizhou 1,Retired,
CASC,Long March 4C | Fengyun-3C,Active,64.68
Northrop,Antares 110 | CRS Orb-D1,Retired,80.0
ULA,Atlas V 531 | AEHF-3,Active,140.0
JAXA,Epsilon Demo | SPRINT-A,Retired,
VKS RF,"Rokot/Briz KM | Goniets-M n°14L, 16L & 17L",Retired,13.0
Northrop,Minotaur V | LADEE,Active,55.0
Virgin Galactic,SpaceShipTwo | PF02,Active,
CASC,"Long March 4C | Yaogan-17 1, 2 & 3",Active,64.68
Land Launch,Zenit-3 SLB | AMOS 4,Retired,
Arianespace,Ariane 5 ECA | Eutelsat 25B/Es'hail 1 & GSAT-7,Retired,200.0
ULA,Delta IV Heavy | KH-11 16 (USA-245) (NROL-65),Active,350.0
Kosmotras,Dnepr | KompSat-5,Retired,29.0
ULA,"Delta IV Medium+ (5,4) | WGS-6 (USA-244)",Retired,
MHI,H-IIB | HTV-4,Retired,112.5
Roscosmos,Soyuz U | Progress M-20M,Retired,20.0
Arianespace,Ariane 5 ECA | Alphasat I-XL & INSAT-3D,Retired,200.0
CASC,"Long March 4C | Shijian-15, CX-3, Shiyan-7A & 7B",Active,64.68
ULA,Atlas V 551 | MUOS-2,Active,153.0
CASC,Long March 2C | Shijian-11 05,Active,30.8
Roscosmos,"Proton-M/DM-3 | Cosmos 2488, 2489 & 2490",Active,65.0
ISRO,PSLV-XL | IRNSS-1A,Active,31.0
Northrop,Pegasus XL | IRIS,Active,40.0
VKS RF,Strela | Cosmos 2487,Retired,
Arianespace,Soyuz ST-B/Fregat-MT | O3b FM01-FM02/FM04-FM05,Active,30.0
VKS RF,Soyuz 2.1b | Resurs-P No.1,Active,20.0
CASC,Long March 2F/G | Shenzhou 10,Active,
VKS RF,Soyuz 2.1b | Cosmos 2486,Active,20.0
Arianespace,Ariane 5 ES | ATV-4,Retired,
ILS,Proton-M/Briz-M | SES-6,Active,65.0
Roscosmos,Soyuz FG | Soyuz TMA-09M,Retired,
ULA,"Delta IV Medium+ (5,4) | WGS-5 (USA-243)",Retired,
ULA,Atlas V 401 | GPS IIF-4,Active,109.0
ILS,Proton-M/Briz-M | Eutelsat 3D,Active,65.0
Arianespace,"Vega | Proba-V, VNREDSat-1A & ESTCube-1",Active,37.0
CASC,Long March 3B/E | ChinaSat-11,Active,29.15
Virgin Galactic,SpaceShipTwo | PF01,Active,
VKS RF,Soyuz 2.1b/Fregat-M | Cosmos 2485,Active,25.0
CASC,"Long March 2D | Gaofen-1, Türksat-3USat & Others",Active,29.75
Roscosmos,Soyuz U | Progress M-19M,Retired,20.0
Northrop,Antares 110 | Antares A-ONE (CMS & Others),Retired,80.0
Roscosmos,Soyuz 2.1a | Bion-M n°01,Active,17.42
ILS,Proton-M/Briz-M | Anik G1,Active,65.0
Roscosmos,Soyuz FG | Soyuz TMA-08M,Retired,
ILS,Proton-M/Briz-M | Satmex 8,Active,65.0
ULA,Atlas V 401 | SBIRS GEO-2,Active,109.0
SpaceX,Falcon 9 Block 1 (v1.0) | CRS SpX-2,Retired,59.5
ISRO,PSLV-CA | SARAL & Rideshares,Active,21.0
ULA,Atlas V 401 | Landsat 8,Active,109.0
Roscosmos,Soyuz U | Progress M-18M,Retired,20.0
Arianespace,Ariane 5 ECA | Amazonas-3 & Azerspace-1,Retired,200.0
Starsem,"Soyuz 2.1a/Fregat | Globalstar-2 M079, 74, 76, 77, 75 & 73",Active,23.0
Sea Launch,Zenit-3 SL | Intelsat 27,Retired,
ULA,Atlas V 401 | TDRS-K,Active,109.0
KARI,KSLV-1 | STSAT-2C,Retired,
MHI,H-IIA 202 | IGS-Optical 5V & IGS-Radar 4,Active,90.0
VKS RF,Rokot/Briz KM | Cosmos 2482 to 2484,Retired,13.0
Arianespace,Ariane 5 ECA | Skynet 5D & Mexsat-3,Retired,200.0
Roscosmos,Soyuz FG | Soyuz TMA-07M,Retired,
CASC,Long March 2D | Göktürk-2,Active,29.75
KCST,Unha-3 | Kwangmyŏngsŏng 3 n°2,Active,
ULA,Atlas V 501 | OTV-3,Active,120.0
ILS,Proton-M/Briz-M | Yamal 402,Active,65.0
Sea Launch,Zenit-3 SL | Eutelsat-70B,Retired,
Arianespace,Soyuz ST-A/Fregat | Pléiades 1B,Active,30.0
CASC,Long March 3B/E | ChinaSat-12,Active,29.15
CASC,"Long March 4C | Yaogan-16 1, 2 & 3",Active,64.68
ILS,Proton-M/Briz-M | EchoStar XVI,Active,65.0
CASC,"Long March 2C | Huanjing-1C, Xinyan 1 & FN 1/1A",Active,30.8
VKS RF,Soyuz 2.1a/Fregat-M | Meridian n°16L,Active,23.0
Arianespace,Ariane 5 ECA | Eutelsat 21B & Star One C3,Retired,200.0
Roscosmos,Proton-M/Briz-M | Yamal-300K & Lutch-5B,Active,65.0
Roscosmos,Soyuz U | Progress M-17M,Retired,20.0
CASC,Long March 3C | Beidou-2 G6,Retired,20.14
Roscosmos,Soyuz FG | Soyuz TMA-06M,Retired,
ILS,Proton-M/Briz-M | Intelsat 23,Active,65.0
CASC,Long March 2C/SMA | Shijian-9A & 9B,Retired,30.8
Arianespace,Soyuz ST-B/Fregat-MT | Galileo IOV FM03-FM04,Active,30.0
SpaceX,Falcon 9 Block 1 (v1.0) | CRS SpX-1 & OG2,Retired,59.5
ULA,"Delta IV Medium+ (4,2) | GPS IIF-3",Retired,164.0
CASC,Long March 2D | VRSS-1,Active,29.75
Arianespace,Ariane 5 ECA | Astra 2F & GSAT-10,Retired,200.0
ISA,Safir-1B+ | Fajr,Active,
CASC,Long March 3B/E | Beidou-2 M5 & M6,Active,29.15
Starsem,Soyuz 2.1a/Fregat | MetOp-B,Active,23.0
ULA,Atlas V 401 | NROL-36,Active,109.0
ISRO,"PSLV-CA | SPOT-6, mRESINS & PROITERES",Active,21.0
ULA,Atlas V 401 | Van Allen Probes (RBSP),Active,109.0
Sea Launch,Zenit-3 SL | Intelsat 21,Retired,
Roscosmos,Proton-M/Briz-M | Telkom-3 & Ekspress MD-2,Active,65.0
Arianespace,Ariane 5 ECA | Intelsat 20 & HYLAS 2,Retired,200.0
Roscosmos,Soyuz U | Progress M-16M,Retired,20.0
VKS RF,"Rokot/Briz KM | Cosmos 2481, Goniets-M n°13L & 15L",Retired,13.0
CASC,Long March 3C | Tianlian 1C,Retired,20.14
Roscosmos,"Soyuz FG/Fregat | Kanopuss-V n°01, Zond-PP & Others",Retired,
MHI,H-IIB | HTV-3,Retired,112.5
Roscosmos,Soyuz FG | Soyuz TMA-05M,Retired,
ILS,Proton-M/Briz-M | SES-5,Active,65.0
Arianespace,Ariane 5 ECA | EchoStar XVII & MSG-3,Retired,200.0
ULA,Delta IV Heavy | NROL-15,Active,350.0
ULA,Atlas V 401 | NROL-38,Active,109.0
CASC,Long March 2F/G | Shenzhou 9,Active,
Northrop,Pegasus XL | NuSTAR,Active,40.0
Sea Launch,Zenit-3 SL | Intelsat 19,Retired,
CASC,Long March 4C | Yaogan 15,Active,64.68
CASC,Long March 3B/E | ChinaSat-2A,Active,29.15
ISA,Safir-1B+ | Fajr,Active,
SpaceX,Falcon 9 Block 1 (v1.0) | COTS-2+,Retired,59.5
ILS,Proton-M/Briz-M | Nimiq 6,Active,65.0
MHI,"H-IIA 202 | Shizuku, KOMPSAT 3 & Others",Active,90.0
VKS RF,Soyuz U | Cosmos 2480,Retired,20.0
Arianespace,Ariane 5 ECA | JCSAT-13 & Vinasat-2,Retired,200.0
Roscosmos,Soyuz FG | Soyuz TMA-04M,Retired,
CASC,Long March 4B | Yaogan 14 & Tiantuo-1,Active,64.68
CASC,Long March 2D | Tianhui-1B,Active,29.75
ULA,Atlas V 531 | AEHF-2,Active,140.0
CASC,Long March 3B/E | Beidou-2 M3 & M4,Active,29.15
ISRO,PSLV-XL | RISAT-1,Active,31.0
ILS,Proton-M/Briz-M | YahSat-1B,Active,65.0
Roscosmos,Soyuz U | Progress M-15M,Retired,20.0
KCST,Unha-3 | Kwangmyŏngsŏng 3,Active,
ULA,"Delta IV Medium+ (5,2) | NROL-25",Retired,
CASC,Long March 3B/E | Apstar-7,Active,29.15
Roscosmos,Proton K/Block-DM-2 | Cosmos 2479,Retired,
ILS,Proton-M/Briz-M | Intelsat 22,Active,65.0
Arianespace,Ariane 5 ES | ATV-3,Retired,
ULA,Atlas V 551 | MUOS-1,Active,153.0
CASC,Long March 3C | Beidou-2 G5,Retired,20.14
ILS,Proton-M/Briz-M | SES-4,Active,65.0
ESA,"Vega | Lares, AlmaSat-1 & Others",Active,37.0
ISA,Safir-1B | Navid,Retired,
Roscosmos,Soyuz U | Progress M-14M,Retired,20.0
ULA,"Delta IV Medium+ (5,4) | WGS-4 (USA-233)",Retired,
CASC,Long March 3A | Fengyun-2F,Active,69.7
CASC,Long March 4B | Ziyuan-3 01 & VesselSat-2,Active,64.68
Starsem,"Soyuz 2.1a/Fregat | Globalstar-2 M083, 88, 91, 85, 81 & 89",Active,23.0
VKS RF,Soyuz 2.1b/Fregat-M | Meridian n°15L,Active,25.0
CASC,Long March 4B | Ziyuan-1 02C,Active,64.68
Roscosmos,Soyuz FG | Soyuz TMA-03M,Retired,
CASC,Long March 3B/E | NIGCOMSAT-1R,Active,29.15
Arianespace,"Soyuz ST-A/Fregat | Pléiades 1A, SSOT, Elisa",Active,30.0
MHI,H-IIA 202 | IGS-Radar 3,Active,90.0
Roscosmos,Proton-M/Briz-M | AMOS 5 & Luch-5A,Active,65.0
CASC,Long March 3A | Beidou-2 I5,Active,69.7
CASC,Long March 2C | Yaogan 13,Active,30.8
VKS RF,Soyuz 2.1b/Fregat-M | Cosmos 2478,Active,25.0
ULA,Atlas V 541 | Curiosity,Active,145.0
ILS,Proton-M/Briz-M | AsiaSat 7,Active,65.0
CASC,Long March 2D | Shiyan-4 & Chuangxin-1 03,Active,29.75
Roscosmos,Soyuz FG | Soyuz TMA-22,Retired,
CASC,Long March 4B | Yaogan 12 & Tianxun-1,Active,64.68
Roscosmos,Zenit-2 FG | Fobos-Grunt & Yinghuo 1,Retired,
Roscosmos,"Proton-M/Briz-M | Cosmos 2475, 2476 & 2477",Active,65.0
CASC,Long March 2F/G | Shenzhou 8,Active,
Roscosmos,Soyuz U | Progress M-13M,Retired,20.0
ULA,Delta II 7920-10C | Suomi NPP / ELaNa III,Retired,
Arianespace,Soyuz ST-B/Fregat-MT | Galileo IOV FM01-FM02,Active,30.0
ILS,Proton-M/Briz-M | ViaSat-1,Active,65.0
ISRO,PSLV-CA | Megha-Tropiques & Others,Active,21.0
CASC,Long March 3B/E | Eutelsat W3C,Active,29.15
Land Launch,Zenit-3 SLB | Intelsat 18,Retired,
VKS RF,Soyuz 2.1b/Fregat-M | Cosmos 2474,Active,25.0
ILS,Proton-M/Briz-M | QuetzSat-1,Active,65.0
CASC,Long March 2F/T | Tiangong-1,Active,
Northrop,Minotaur IV | TacSat-4,Active,46.0
Sea Launch,Zenit-3 SL | Atlantic Bird 7,Retired,
MHI,H-IIA 202 | IGS-Optical 4,Active,90.0
Arianespace,Ariane 5 ECA | Arabsat-5C & SES-2,Retired,200.0
Roscosmos,Proton-M/Briz-M | Cosmos 2473,Active,65.0
CASC,Long March 3B/E | ChinaSat-1A,Active,29.15
ULA,Delta II 7920H-10C | GRAIL,Retired,
Roscosmos,Soyuz U | Progress M-12M,Retired,20.0
CASC,Long March 2C | Shijian-11 04,Active,30.8
Roscosmos,Proton-M/Briz-M | Ekspress AM4,Active,65.0
Kosmotras,Dnepr | Sich 2 & Others,Retired,29.0
CASC,Long March 4B | Haiyang-2A,Active,64.68
CASC,Long March 3B/E | PAKSAT-1R,Active,29.15
Arianespace,Ariane 5 ECA | Astra 1N & BSAT-3C,Retired,200.0
ULA,Atlas V 551 | Juno,Active,153.0
CASC,Long March 2C | Shijian-11 02,Active,30.8
CASC,Long March 3A | Beidou-2 I4,Active,69.7
Roscosmos,Zenit-3 SLBF | Spektr-R,Retired,
ULA,"Delta IV Medium+ (4,2) | GPS IIF-2",Retired,164.0
ILS,Proton-M/Briz-M | SES-3 & KazSat-2,Active,65.0
ISRO,PSLV-XL | GSAT-12,Active,31.0
Starsem,"Soyuz 2.1a/Fregat | Globalstar-2 M084, 80, 86, 82, 92 & 90",Active,23.0
CASC,Long March 3C | Tianlian 1B,Retired,20.14
NASA,Space Shuttle Atlantis | STS-135,Retired,450.0
CASC,Long March 2C | Shijian-11 03,Active,30.8
Northrop,Minotaur I | ORS-1,Active,40.0
VKS RF,Soyuz U | Cosmos 2472,Retired,20.0
Roscosmos,Soyuz U | Progress M-11M,Retired,20.0
CASC,Long March 3B/E | ChinaSat-10,Active,29.15
ISA,Safir-1A | Rasad 1,Retired,
ULA,Delta II 7320-10C | SAC-D,Retired,
Roscosmos,Soyuz FG | Soyuz TMA-02M,Retired,
Arianespace,Ariane 5 ECA | ST-2 & GSAT-8,Retired,200.0
ILS,Proton-M/Briz-M | Telstar 14R,Active,65.0
NASA,Space Shuttle Endeavour | STS-134,Retired,450.0
ULA,Atlas V 401 | SBIRS GEO-1,Active,109.0
VKS RF,Soyuz 2.1a/Fregat-M | Meridian n°14L,Active,23.0
Roscosmos,Soyuz U | Progress M-10M,Retired,20.0
Arianespace,Ariane 5 ECA | Yahsat 1A & Intelsat 28,Retired,200.0
ISRO,"PSLV-G | ResourceSat-2, X-Sat & YouthSat",Retired,25.0
ULA,Atlas V 411 | NROL-34,Retired,115.0
CASC,Long March 3A | Beidou-2 I3,Active,69.7
Roscosmos,Soyuz FG | Soyuz TMA-21,Retired,
ULA,"Delta IV Medium+ (4,2) | NROL-27",Retired,164.0
ULA,Atlas V 501 | OTV-2,Active,120.0
Northrop,"Minotaur C (Taurus) | Glory, KySat-1, Hermes, and Explorer-1 [PRIME]",Active,45.0
VKS RF,Soyuz 2.1b/Fregat-M | Cosmos 2471,Active,25.0
NASA,Space Shuttle Discovery | STS-133,Retired,450.0
Arianespace,Ariane 5 ES | ATV-2,Retired,
Northrop,Minotaur I | NROL-66,Active,40.0
VKS RF,Rokot/Briz KM | Cosmos 2470,Retired,13.0
Roscosmos,Soyuz U | Progress M-09M,Retired,20.0
MHI,H-IIB | HTV-2,Retired,112.5
ULA,Delta IV Heavy | KH-11 15 (USA-224) (NROL-49),Active,350.0
Roscosmos,Zenit-3 SLBF | Elektro-L n°1,Retired,
Arianespace,Ariane 5 ECA | Koreasat 6 & Hispasat-1E,Retired,200.0
ILS,Proton-M/Briz-M | KA-SAT,Active,65.0
ISRO,GSLV Mk I | GSAT-5P,Retired,47.0
CASC,Long March 3A | Beidou-2 I2,Active,69.7
Roscosmos,Soyuz FG | Soyuz TMA-20,Retired,
SpaceX,Falcon 9 Block 1 (v1.0) | COTS-1,Retired,59.5
Roscosmos,Proton-M/DM-3 | Glonass-M Block 43,Active,65.0
Arianespace,Ariane 5 ECA | Intelsat 17 & HYLAS-1,Retired,200.0
CASC,Long March 3A | ChinaSat-20A,Active,69.7
ULA,Delta IV Heavy | NROL-32,Active,350.0
Northrop,Minotaur IV | STP-S26,Active,46.0
ILS,Proton-M/Briz-M | SkyTerra-1,Active,65.0
ULA,Delta II 7420-10C | COSMO-4,Retired,
CASC,Long March 4C | Fengyun-3B,Active,64.68
VKS RF,Soyuz 2.1a/Fregat-M | Meridian n°13L,Active,23.0
CASC,Long March 3C | Beidou-2 G4,Retired,20.14
Arianespace,Ariane 5 ECA | Eutelsat W3B & BSAT-3B,Retired,200.0
Roscosmos,Soyuz U | Progress M-08M,Retired,20.0
Starsem,Soyuz 2.1a/Fregat | Globalstar-2 M078 & 93 to 97,Active,23.0
ILS,Proton-M/Briz-M | Sirius XM-5,Active,65.0
Roscosmos,Soyuz FG | Soyuz TMA-01M,Retired,
CASC,Long March 4B | Shijian-6G & 6H,Active,64.68
CASC,Long March 3C | Chang'e 2,Retired,20.14
VKS RF,Molniya-M /Block 2BL | Cosmos 2469,Retired,
Northrop,Minotaur IV | SBSS,Active,46.0
CASC,"Long March 2D | Yaogan 11, ZDPS-1A & 1B",Active,29.75
ULA,Atlas V 501 | NROL-41,Active,120.0
MHI,H-IIA 202 | Michibiki 1,Active,90.0
Roscosmos,Soyuz U | Progress M-07M,Retired,20.0
VKS RF,"Rokot/Briz KM | Cosmos 2467, 2468 & Goniets-M n°12L",Retired,13.0
CASC,Long March 3B/E | ChinaSat-6A,Active,29.15
Roscosmos,"Proton-M/DM-2 | Cosmos 2464, 2465 & 2466",Active,65.0
CASC,Long March 2D | Tianhui-1A,Active,29.75
ULA,Atlas V 531 | AEHF-1,Active,140.0
CASC,Long March 4C | Yaogan 10,Active,64.68
Arianespace,Ariane 5 ECA | Nilesat-201 & Rascom-QAF 1R,Retired,200.0
CASC,Long March 3A | Beidou-2 I1,Active,69.7
ISRO,PSLV-CA | Cartosat-2B & Rideshares,Active,21.0
ILS,Proton-M/Briz-M | EchoStar XV,Active,65.0
Roscosmos,Soyuz U | Progress M-06M,Retired,20.0
Arianespace,Ariane 5 ECA | Arabsat-5A & COMS-1,Retired,200.0
IAI,Shavit-2 | Ofek-9,Active,
Kosmotras,Dnepr | TanDEM-X,Retired,29.0
Roscosmos,Soyuz FG | Soyuz TMA-19,Retired,
Kosmotras,Dnepr | Picard & PRISMA,Retired,29.0
CASC,Long March 2D | Shijian-12,Active,29.75
KARI,KSLV-1 | STSAT-2B,Retired,
SpaceX,Falcon 9 Block 1 (v1.0) | Flight 1,Retired,59.5
ILS,Proton-M/Briz-M | Badr-5,Active,65.0
CASC,Long March 3C | Beidou-2 G3,Retired,20.14
Eurockot,Rokot/Briz KM | SERVIS-2,Retired,13.0
ULA,"Delta IV Medium+ (4,2) | GPS IIF-1",Retired,164.0
Arianespace,Ariane 5 ECA | Astra 3B & COMSATBw-2,Retired,200.0
MHI,"H-IIA 202 | Akatsuki, IKAROS & Others",Active,90.0
NASA,Space Shuttle Atlantis | STS-132,Retired,450.0
Roscosmos,Soyuz U | Progress M-05M,Retired,20.0
VKS RF,Cosmos-3M | Cosmos 2463,Retired,
ILS,Proton-M/Briz-M | SES-1,Active,65.0
ULA,Atlas V 501 | OTV-1,Active,120.0
VKS RF,Soyuz U | Cosmos 2462,Retired,20.0
ISRO,GSLV Mk II | GSAT-4,Active,47.0
Kosmotras,Dnepr | CryoSat-2,Retired,29.0
NASA,Space Shuttle Discovery | STS-131,Retired,450.0
Roscosmos,Soyuz FG | Soyuz TMA-18,Retired,
ILS,Proton-M/Briz-M | EchoStar XIV,Active,65.0
CASC,"Long March 4C | Yaogan-9 1, 2 & 3",Active,64.68
ULA,"Delta IV Medium+ (4,2) | GOES-P (GOES-15)",Retired,164.0
Roscosmos,"Proton-M/DM-2 | Cosmos 2459, 2460 & 2461",Active,65.0
ILS,Proton-M/Briz-M | Intelsat 16,Active,65.0
ULA,Atlas V 401 | SDO,Active,109.0
NASA,Space Shuttle Endeavour | STS-130,Retired,450.0
Roscosmos,Soyuz U | Progress M-04M,Retired,20.0
Roscosmos,Proton-M/Briz-M | Raduga-1M n°02,Active,65.0
CASC,Long March 3C | Beidou-2 G1,Retired,20.14
ILS,Proton-M/Briz-M | DirecTV-12,Active,65.0
Roscosmos,Soyuz FG | Soyuz TMA-17,Retired,
Arianespace,Ariane 5 GS | Hélios 2B,Retired,
CASC,Long March 4C | Yaogan 8 & Xiwang 1,Active,64.68
ULA,Delta II 7320-10C | WISE,Retired,
Roscosmos,"Proton-M/DM-2 | Cosmos 2456, 2457 & 2458",Active,65.0
CASC,Long March 2D | Yaogan 7,Active,29.75
ULA,"Delta IV Medium+ (5,4) | WGS-3 (USA-211)",Retired,
Land Launch,Zenit-3 SLB | Intelsat 15,Retired,
MHI,H-IIA 202 | IGS-Optical 3,Active,90.0
ILS,Proton-M/Briz-M | Eutelsat W7,Active,65.0
ULA,Atlas V 431 | Intelsat 14,Retired,130.0
VKS RF,Soyuz U | Cosmos 2455,Retired,20.0
NASA,Space Shuttle Atlantis | STS-129,Retired,450.0
CASC,Long March 2C | Shijian-11 01,Active,30.8
Roscosmos,Soyuz U | Progress M-MIM2,Retired,20.0
Eurockot,Rokot/Briz KM | SMOS & PROBA-2,Retired,13.0
Arianespace,Ariane 5 ECA | NSS-12 & Thor-6,Retired,200.0
NASA,Ares 1-X | Ares 1-X Test Flight,Retired,450.0
ULA,Atlas V 401 | DMSP-5D3-F18 (USA-210),Active,109.0
Roscosmos,Soyuz U | Progress M-03M,Retired,20.0
ULA,Delta II 7920-10C | WorldView-2,Retired,
Arianespace,Ariane 5 ECA | Amazonas 2 & COMSATBw-1,Retired,200.0
Roscosmos,Soyuz FG | Soyuz TMA-16,Retired,
ULA,Delta II 7920-10C | STSS Demo,Retired,
ISRO,PSLV-CA | Oceansat-2 & Rideshares,Active,21.0
ILS,Proton-M/Briz-M | Nimiq 5,Active,65.0
Roscosmos,Soyuz 2.1b/Fregat | Meteor-M n°1 & Others,Active,25.0
MHI,H-IIB | HTV-1,Retired,112.5
ULA,Atlas V 401 | PAN (USA-270),Active,109.0
CASC,Long March 3B | Palapa-D,Retired,
NASA,Space Shuttle Discovery | STS-128,Retired,450.0
KARI,KSLV-1 | STSAT-2A,Retired,
Arianespace,Ariane 5 ECA | JCSAT-12 & Optus D3,Retired,200.0
ULA,Delta II 7925 | GPS IIRM-8,Retired,
ILS,Proton-M/Briz-M | AsiaSat 5,Active,65.0
Kosmotras,Dnepr | DubaiSat 1 & Others,Retired,29.0
Roscosmos,Soyuz U | Progress M-67,Retired,20.0
VKS RF,Cosmos-3M | Cosmos 2454,Retired,
NASA,Space Shuttle Endeavour | STS-127,Retired,450.0
SpaceX,Falcon 1 | RazakSat 1,Retired,7.0
VKS RF,Rokot/Briz KM | Cosmos 2451 to 2453,Retired,13.0
Arianespace,Ariane 5 ECA | TerreStar-1,Retired,200.0
ILS,Proton-M/Briz-M | Sirius FM5,Active,65.0
ULA,"Delta IV Medium+ (4,2) | GOES-O (GOES-14)",Retired,164.0
Land Launch,Zenit-3 SLB | MEASAT 3a,Retired,
ULA,Atlas V 401 | LRO/LCROSS,Active,109.0
Roscosmos,Soyuz FG | Soyuz TMA-15,Retired,
VKS RF,Soyuz 2.1a/Fregat-M | Meridian n°12L,Active,23.0
Northrop,Minotaur I | TacSat-3 / PharmaSat / AeroCube 3 / HawkSat I / CP6,Active,40.0
ILS,Proton-M/Briz-M | ProtoStar 2,Active,65.0
Arianespace,Ariane 5 ECA | Herschel & Planck,Retired,200.0
NASA,Space Shuttle Atlantis | STS-125,Retired,450.0
Roscosmos,Soyuz U | Progress M-02M,Retired,20.0
ULA,Delta II 7920-10C | STSS-ATRR,Retired,
VKS RF,Soyuz U | Cosmos 2450,Retired,20.0
CASC,Long March 2C | Yaogan 6,Active,30.8
Sea Launch,Zenit-3 SL | Sicral-1B,Retired,
ISRO,PSLV-CA | RISAT-2 & ANUSAT,Active,21.0
CASC,Long March 3C | Beidou-2 G2,Retired,20.14
KCST,Unha-2 | Kwangmyŏngsŏng 2,Retired,
ULA,Atlas V 421 | WGS-2 (USA-204),Active,123.0
ILS,Proton-M/Briz-M | Eutelsat W2A,Active,65.0
Roscosmos,Soyuz FG | Soyuz TMA-14,Retired,
ULA,Delta II 7925 | GPS IIRM-7,Retired,
Eurockot,Rokot/Briz KM | GOCE,Retired,13.0
NASA,Space Shuttle Discovery | STS-119,Retired,450.0
ULA,Delta II 7925-10L | Kepler,Retired,
Roscosmos,Proton K/Block-DM-2 | Raduga-1 8,Retired,
Land Launch,Zenit-3 SLB | Telstar-11N,Retired,
Northrop,Minotaur C (Taurus) | Orbiting Carbon Observatory,Active,45.0
Arianespace,"Ariane 5 ECA | Hot Bird 10, NSS-9 & Spirale-A & B",Retired,200.0
Roscosmos,Proton-M/Briz-M | Ekspress-AM44 & MD-1,Active,65.0
Roscosmos,Soyuz U | Progress M-66,Retired,20.0
ULA,Delta II 7320-10C | NOAA-N Prime,Retired,
ISA,Safir-1 | Omid,Retired,
VKS RF,Tsyklon-3 | Koronas Foton,Retired,
MHI,"H-IIA 202 | Ibuki, Maido 1 & Others",Active,90.0
ULA,Delta IV Heavy | NROL-26,Active,350.0
Roscosmos,"Proton-M/DM-2 | Cosmos 2447, 2448 & 2449",Active,65.0
CASC,Long March 3A | Fengyun-2E,Active,69.7
Arianespace,Ariane 5 ECA | Hot Bird 9 & Eutelsat W2M,Retired,200.0
CASC,Long March 4B | Yaogan 5,Active,64.68
ILS,Proton-M/Briz-M | Ciel 2,Active,65.0
VKS RF,Molniya-M /Block 2BL | Cosmos 2446,Retired,
CASC,Long March 2D | Yaogan 4,Active,29.75
Roscosmos,Soyuz U | Progress M-01M,Retired,20.0
NASA,Space Shuttle Endeavour | STS-126,Retired,450.0
VKS RF,Soyuz U | Cosmos 2445,Retired,20.0
ILS,Proton-M/Briz-M | Astra-1M,Active,65.0
CASC,Long March 2D | Shiyan-3 & Chuangxin-1 02,Active,29.75
CASC,Long March 3B/E | VENESAT 1,Active,29.15
ULA,Delta II 7420-10C | COSMO-3,Retired,
CASC,Long March 4B | Shijian-6E & 6F,Active,64.68
ISRO,PSLV-XL | Chandrayaan-1,Active,31.0
Northrop,Pegasus XL | IBEX,Active,40.0
Roscosmos,Soyuz FG | Soyuz TMA-13,Retired,
Kosmotras,Dnepr | THEOS 1,Retired,29.0
SpaceX,Falcon 1 | Ratsat,Retired,7.0
CASC,Long March 2F | Shenzhou 7,Retired,
Roscosmos,"Proton-M/DM-2 | Cosmos 2442, 2443 & 2444",Active,65.0
Sea Launch,Zenit-3 SL | Galaxy 19,Retired,
ILS,Proton-M/Briz-M | Nimiq 4,Active,65.0
Roscosmos,Soyuz U | Progress M-65,Retired,20.0
ULA,Delta II 7420-10C | GeoEye-1,Retired,
CASC,Long March 2C/SMA | Huanjing-1A & 1B,Retired,30.8
Kosmotras,Dnepr | RapidEye 1 to 5,Retired,29.0
ILS,Proton-M/Briz-M | Inmarsat-4F3,Active,65.0
ISA,Safir-1 | Omid,Retired,
Arianespace,Ariane 5 ECA | Superbird-7 & AMC-21,Retired,200.0
SpaceX,"Falcon 1 | Trailblazer, PreSat & Nanosail-D",Retired,7.0
VKS RF,Soyuz 2.1b | Cosmos 2441,Active,20.0
VKS RF,Cosmos-3M | SAR-Lupe 5,Retired,
Sea Launch,Zenit-3 SL | EchoStar XI,Retired,
Arianespace,Ariane 5 ECA | ProtoStar-1 & Badr-6,Retired,200.0
Roscosmos,Proton K/Block-DM-2 | Cosmos 2440,Retired,
ULA,Delta II 7320-10C | Jason-2,Retired,
VKS RF,Cosmos-3M | Orbcomm Satellites,Retired,
Arianespace,Ariane 5 ECA | Skynet 5C & Türksat 3A,Retired,200.0
ULA,Delta II 7920H-10C | GLAST,Retired,
CASC,Long March 3B | ChinaSat-9,Retired,
NASA,Space Shuttle Discovery | STS-124,Retired,450.0
CASC,Long March 4C | Fengyun-3A,Active,64.68
VKS RF,Rokot/Briz KM | Cosmos 2437 to 2439 & Yubileyniy-1,Retired,13.0
