Organisation,Details,Rocket_Status,Price
Galactic Energy,Ceres-1 | Autumn Sonata,Active,4.38
SpaceX,Falcon 9 Block 5 | Starlink Group 6-17,Active,67.0
Rocket Lab,Electron/Curie | We Will Never Desert You,Active,7.5
CASC,Long March 2D | Yaogan 39 Group 02,Active,29.75
SpaceX,Falcon 9 Block 5 | Starlink Group 6-16,Active,67.0
Roscosmos,Soyuz 2.1a | Soyuz MS-24,Active,17.42
Firefly,Alpha | VICTUS NOX (TacRS-3),Active,15.0
SpaceX,Falcon 9 Block 5 | Starlink Group 7-2,Active,67.0
ULA,Atlas V 551 | SILENTBARKER (NROL-107),Active,153.0
CASC,Long March 6A | Yaogan 40,Active,
SpaceX,Falcon 9 Block 5 | Starlink Group 6-14,Active,67.0
Virgin Galactic,SpaceShipTwo | Galactic-03,Active,
MHI,H-IIA 202 | SLIM & XRISM,Active,90.0
CASC,Long March 4C | Yaogan 33-03,Active,64.68
Galactic Energy,Ceres-1S | The Little Mermaid,Active,4.38
SpaceX,Falcon 9 Block 5 | Starlink Group 6-12,Active,67.0
SpaceX,"Falcon 9 Block 5 | Transport & Tracking Layer (Tranche 0, Flight 2)",Active,67.0
ISRO,PSLV-XL | Aditya L1,Active,31.0
SpaceX,Falcon 9 Block 5 | Starlink Group 6-13,Active,67.0
CASC,Long March 2D | Yaogan 39 Group 01,Active,29.75
SpaceX,Falcon 9 Block 5 | Starlink Group 6-11,Active,67.0
SpaceX,Falcon 9 Block 5 | SpaceX Crew-7,Active,67.0
Galactic Energy,Ceres-1 | Cornfield Chase,Active,4.38
Rocket Lab,Electron/Curie | We Love the Nightlife,Active,7.5
NADA,Chŏllima 1 | Manligyeong 1 #2,Active,
Roscosmos,Soyuz 2.1a | Progress MS-24,Active,17.42
SpaceX,Falcon 9 Block 5 | Starlink Group 7-1,Active,67.0
CASC,Long March 4C | Gaofen-12 04,Active,64.68
SpaceX,Falcon 9 Block 5 | Starlink Group 6-10,Active,67.0
ExPace,Kuaizhou 1A | HEAD-3A/B/C/D/E,Active,5.8
CASC,Long March 3B/E | L-SAR4-01 (LTDC-4A),Active,29.15
SpaceX,Falcon 9 Block 5 | Starlink Group 6-9,Active,67.0
Roscosmos,Soyuz 2.1b/Fregat-M | Luna 25,Active,25.0
Virgin Galactic,SpaceShipTwo | Galactic 02,Active,
Galactic Energy,Ceres-1 | Lucky 7,Active,4.38
CASC,Long March 2C | 5 m S-SAR-02 (Huanjing-2F),Active,30.8
SpaceX,Falcon 9 Block 5 | Starlink Group 6-20,Active,67.0
VKS RF,Soyuz 2.1b/Fregat-M | Cosmos 2569,Active,25.0
SpaceX,Falcon 9 Block 5 | Starlink Group 6-8,Active,67.0
SpaceX,Falcon 9 Block 5 | Galaxy 37,Active,67.0
CASC,Long March 4C | Fengyun-3F,Active,64.68
Northrop,Antares 230+ | CRS NG-19,Retired,85.0
ISRO,PSLV-CA | DS-SAR,Active,21.0
SpaceX,Falcon Heavy | EchoStar 24 (Jupiter 3),Active,97.0
SpaceX,Falcon 9 Block 5 | Starlink Group 6-7,Active,67.0
CASC,Long March 2D | Yaogan 36 Group 05,Active,29.75
SpaceX,Falcon 9 Block 5 | Starlink Group 6-6,Active,67.0
CASC,Long March 2D | Skysight AS-01 to 03 & Lingxi-03,Active,29.75
Galactic Energy,Ceres-1 | Lemon Tree,Active,4.38
SpaceX,Falcon 9 Block 5 | Starlink Group 6-15,Active,67.0
ExPace,Kuaizhou 1A | Tianmu-1 07-10,Active,5.8
Rocket Lab,Electron/Curie | Baby Come Back,Active,7.5
SpaceX,Falcon 9 Block 5 | Starlink Group 5-15,Active,67.0
ISRO,LVM-3 | Chandrayaan-3,Active,62.0
Landspace,ZhuQue-2 | Flight 2,Active,
SpaceX,Falcon 9 Block 5 | Starlink Group 6-5,Active,67.0
CASC,Long March 2C/YZ-1S | 2 x SatNet test satellites,Active,30.8
SpaceX,Falcon 9 Block 5 | Starlink Group 5-13,Active,67.0
Arianespace,Ariane 5 ECA | Syracuse 4B & Heinrich Hertz,Retired,200.0
SpaceX,Falcon 9 Block 5 | Euclid Telescope,Active,67.0
Virgin Galactic,SpaceShipTwo | Galactic 01,Active,
Roscosmos,Soyuz 2.1b/Fregat-M | Meteor-M n°2-3 and others,Active,25.0
SpaceX,Falcon 9 Block 5 | Starlink Group 5-12,Active,67.0
ULA,Delta IV Heavy | NROL-68 (USA-345),Active,350.0
SpaceX,Falcon 9 Block 5 | Starlink Group 5-7,Active,67.0
CASC,Long March 6 | Shiyan 25,Active,19.0
SpaceX,Falcon 9 Block 5 | Satria,Active,67.0
Rocket Lab,Electron | Scout's Arrow,Active,7.5
CASC,Long March 2D | 41 x Jilin-1,Active,29.75
SpaceX,Falcon 9 Block 5 | Transporter 8,Active,67.0
SpaceX,Falcon 9 Block 5 | Starlink Group 5-11,Active,67.0
ExPace,Kuaizhou 1A | Longjiang 3,Active,5.8
CAS Space,Kinetica 1 | Second Flight,Active,
SpaceX,Falcon 9 Block 5 | CRS SpX-28,Active,67.0
SpaceX,Falcon 9 Block 5 | Starlink Group 6-4,Active,67.0
SpaceX,Falcon 9 Block 5 | Starlink Group 2-10,Active,67.0
NADA,Chŏllima 1 | Manligyeong 1 #1,Active,
CASC,Long March 2F/G | Shenzhou 16,Active,
ISRO,GSLV Mk II | NVS-01 (IRNSS-1J),Active,47.0
SpaceX,Falcon 9 Block 5 | Arabsat 7B (Badr 8),Active,67.0
Roscosmos,Soyuz 2.1a/Fregat-M | Kondor-FKA n°1,Active,23.0
Rocket Lab,Electron/Curie | TROPICS Flight 3: Coming to a Storm Near You,Active,7.5
Virgin Galactic,SpaceShipTwo | Unity 25,Active,
KARI,KSLV-2 | NEXTSat-2 & Others,Active,
Roscosmos,Soyuz 2.1a | Progress MS-23,Active,17.42
SpaceX,Falcon 9 Block 5 | Axiom Mission 2 (Ax-2),Active,67.0
CASC,Long March 2C | MUST-1A/B & Luojia-2 01,Active,30.8
SpaceX,Falcon 9 Block 5 | Iridium-9 & OneWeb #19,Active,67.0
SpaceX,Falcon 9 Block 5 | Starlink Group 6-3,Active,67.0
CASC,Long March 3B/E | Beidou-3 G4,Active,29.15
SpaceX,Falcon 9 Block 5 | Starlink Group 5-9,Active,67.0
SpaceX,Falcon 9 Block 5 | Starlink Group 2-9,Active,67.0
CASC,Long March 7 | Tianzhou 6,Active,
Rocket Lab,Electron/Curie | TROPICS Flight 2: Rocket Like A Hurricane,Active,7.5
SpaceX,Falcon 9 Block 5 | Starlink Group 5-6,Active,67.0
SpaceX,Falcon Heavy | ViaSat-3 Americas & Others,Active,97.0
SpaceX,Falcon 9 Block 5 | O3b mPOWER 3 & 4,Active,67.0
SpaceX,Falcon 9 Block 5 | Starlink Group 3-5,Active,67.0
Virgin Galactic,SpaceShipTwo | Unity 24,Active,
ISRO,PSLV-CA | TeLEOS-2 & Others,Active,21.0
SpaceX,Starship-Super Heavy (Prototype) | Starship Flight Test,Active,
SpaceX,Falcon 9 Block 5 | Starlink Group 6-2,Active,67.0
CASC,Long March 4B | Fengyun-3G,Active,64.68
SpaceX,Falcon 9 Block 5 | Transporter 7,Active,67.0
Arianespace,Ariane 5 ECA | JUICE (Jupiter Icy Moons Explorer),Retired,200.0
SpaceX,Falcon 9 Block 5 | Intelsat 40e/TEMPO,Active,67.0
i-Space,Hyperbola-1 | Dummy Payload,Active,
SpaceX,"Falcon 9 Block 5 | Transport & Tracking Layer (Tranche 0, Flight 1)",Active,67.0
Space Pioneer,Tianlong-2 | Demo Flight,Active,
CASC,Long March 4C | Yaogan 34-04,Active,64.68
CASC,Long March 2D | PIESAT-1 x 4,Active,29.75
SpaceX,Falcon 9 Block 5 | Starlink Group 5-10,Active,67.0
VKS RF,Soyuz 2.1v | Cosmos 2568,Active,
IAI,Shavit-2 | Ofek-13,Active,
ISRO,LVM-3 | OneWeb #18,Active,62.0
SpaceX,Falcon 9 Block 5 | Starlink Group 5-5,Active,67.0
Rocket Lab,Electron/Curie | The Beat Goes On,Active,7.5
VKS RF,Soyuz 2.1a | Cosmos 2567,Active,17.42
Relativity Space,"Terran 1 | Good Luck, Have Fun",Retired,12.0
ExPace,Kuaizhou 1A | Tianmu-1 03-06,Active,5.8
SpaceX,Falcon 9 Block 5 | SES-18 & SES-19,Active,67.0
SpaceX,Falcon 9 Block 5 | Starlink Group 2-8,Active,67.0
CASC,Long March 3B/E | Gaofen-13-02,Active,29.15
Rocket Lab,Electron/Curie | Stronger Together,Active,7.5
CASC,Long March 11 | Shiyan 19,Active,5.3
SpaceX,Falcon 9 Block 5 | CRS SpX-27,Active,67.0
CASC,Long March 2C | Horus 2,Active,30.8
VKS RF,Proton-M/Briz-M | Luch-5X (Olymp-K 2),Active,65.0
CASC,Long March 4C | Tianhui-6 A/B,Active,64.68
SpaceX,Falcon 9 Block 5 | OneWeb #17,Active,67.0
MHI,H3-22 | ALOS-3,Active,50.0
IRGC,Qaem 100 | Nahid-1,Active,
SpaceX,Falcon 9 Block 5 | Starlink Group 2-7,Active,67.0
SpaceX,Falcon 9 Block 5 | SpaceX Crew-6,Active,67.0
SpaceX,Falcon 9 Block 5 | Starlink Group 6-1,Active,67.0
CASC,Long March 2C | Horus 1,Active,30.8
Roscosmos,Soyuz 2.1a | Soyuz MS-23,Active,17.42
CASC,Long March 3B/E | ChinaSat 26,Active,29.15
SpaceX,Falcon 9 Block 5 | Inmarsat I-6 F2,Active,67.0
SpaceX,Falcon 9 Block 5 | Starlink Group 2-5,Active,67.0
SpaceX,Falcon 9 Block 5 | Starlink Group 5-4,Active,67.0
ISRO,SSLV | EOS-07 & Others,Active,
Roscosmos,Soyuz 2.1a | Progress MS-22,Active,17.42
SpaceX,Falcon 9 Block 5 | Amazonas Nexus,Active,67.0
Roscosmos,Proton-M/DM-3 | Elektro-L n°4,Active,65.0
SpaceX,Falcon 9 Block 5 | Starlink Group 5-3,Active,67.0
SpaceX,Falcon 9 Block 5 | Starlink Group 2-6 & ION SCV009,Active,67.0
SpaceX,Falcon 9 Block 5 | Starlink Group 5-2,Active,67.0
MHI,H-IIA 202 | IGS-Radar 7,Active,90.0
Rocket Lab,Electron/Curie | Virginia is for Launch Lovers,Active,7.5
SpaceX,Falcon 9 Block 5 | Starlink Group 2-4,Active,67.0
SpaceX,Falcon 9 Block 5 | GPS III-6,Active,67.0
SpaceX,Falcon Heavy | USSF-67,Active,97.0
CASC,"Long March 2D | 6 x Jilin-1, Qilu-2/3 and others",Active,29.75
CASC,Long March 2D | Yaogan 37 & Shiyan 22A/B,Active,29.75
