Name,Baths,Balcony
"Sai sivam,Thirumangalam, Anna Nagar West,Chennai",3,Yes
Adityaram Nagar Phase 5,5,Yes
CasaGrand Monte Carlo,3,Yes
Pacifica Happiness Towers,4,Yes
Pacifica Aurum Villas,4,Yes
Godrej Palm Grove,3,No
Jain Inseli Park,3,Yes
Pacifica Pride Towers,3,No
Prestige Courtyards by Prestige Estates Projects Ltd.,3,Yes
TVS Flourish ,3,No
Purva Windermere,2,No
Golden Opulence by Golden Homes,3,Yes
TVS Green Acres,3,No
Casagrand Cherry Pick,3,Yes
MP Montana,3,No
SSM Nagar,3,No
Alliance Galleria Residences,2,No
Golden Luxury Villas by Golden Homes,3,No
Aurum Villas,4,Yes
Mahindra Nova,2,Yes
"Chettipunyam, Chennai",3,No
Kochar Neetu Arjun Garden,3,Yes
CasaGrand Primera,2,Yes
MP Silver Bells,2,No
Casagrand Arena,3,Yes
Silversky Lakeside3,3,No
Casagrand Arena,3,No
MP Silver Bells,2,Yes
MP Silver Bells,2,No
Sai Navarathinam,3,No
Jubliee Residences,2,Yes
CasaGrand Savoye,3,No
Pacifica Aurum Villas by Pacifica Companies,4,Yes
Karuppaswamy Tulsi Apartment,3,Yes
Altis Ashraya,3,No
KG Signature City,2,No
KG Earth Homes,2,Yes
MP Urban,3,Yes
Casagrand Arena,3,No
Akshaya Today,3,No
REVOLUTION ONE by Urbanrise,1,No
Akshaya Today,2,Yes
Mahindra Nova,2,Yes
"Sai Enclave ,Kumananchavadi, Chennai",2,No
"ramus redidency,KK Nagar, Chennai",3,No
"Nedunkundram, Chennai",2,No
Twin Courtz,3,Yes
"Housing ,TNHB Colony, Villivakkam,Chennai",3,No
 Coral Enclave,2,No
"Kalyanapuram, Ambattur,Chennai",3,No
"SRI DEVI NEDIL,Drivers Colony, T Nagar,Chennai",3,Yes
"TAPAS,T Nagar, Chennai",3,Yes
"AKB home ,Selaiyur, Chennai",3,No
"india builder,Kathiravan Colony, Anna Nagar,Chennai",3,No
"Cheran Nagar, Perumbakkam,Chennai",3,No
"Guduvancheri, Chennai",3,No
"Pinnacle Crest,Sholinganallur, Chennai",2,No
Mahindra Happinest,2,Yes
CasaGrand The Address,2,Yes
VGN Varna Bhoomi,3,Yes
"Baskaran,Unamancheri, Kolapakkam, Kolapakkam - Vandalur,Chennai",3,No
"akshyam app,Irandam Kattalai, Thandalam,Chennai",2,Yes
Happy Homes Apartment,3,Yes
Alliance Jasmine Springs,2,No
"color avenue,Cheran Nagar, Perumbakkam,Chennai",3,No
Avighna Abode,3,No
"Yeswanth Nagar, Madambakkam,Chennai",3,No
"Kalanikethan apartments ,Aspiran Garden Colony, Kilpauk,Chennai",3,No
"Thangam apartment ,Kathiravan Colony, Anna Nagar,Chennai",3,Yes
SSPDL Crecent,3,No
Isha Code Field Phase II,3,No
 Anugraha Apartments,2,No
Chandran Casita,3,Yes
ProvidentCosmo City,3,No
"Akarsh flats,Anthony Nagar, Kolathur,Chennai",3,No
"Jothi towers,Cheran Nagar, Perumbakkam,Chennai",3,No
VGN Royale,3,No
Lake View Apartment,3,No
"Adayalampet, Maduravoyal,Chennai",3,No
Navins Kaushik,3,Yes
Ambient Apts,4,Yes
MP Tilda,2,No
"Ashvin Apartment,Poonamallee, Chennai",3,No
"Hi Fi Enclave ,Iyyappanthangal, Chennai",3,No
"Ak beryl,Kamakshi Nagar, Anakaputhur,Chennai",3,No
Embassy Residency,3,No
"Sri Sadhan Aynambakkam ,Agraharam, Kil Ayanambakkam,Chennai",3,Yes
AVR Coasta,3,No
"VEMBULI FLATS,Sambanthanar Nagar, Pammal,Chennai",3,Yes
Sri Chakra Flats,3,Yes
Krishna Apartment,3,No
"NSB Homes,Saraswathipuram, Chromepet,Chennai",3,No
Akay Flats,2,No
Plaza Pristine Acres Phase 2,3,No
"Virutcham,Cheran Nagar, Perumbakkam,Chennai",2,Yes
"Guna home,Dharan Singh Colony, Vadapalani,Chennai",4,Yes
Jain Sukriti,2,Yes
"Vigneshwara Nagar, Tharapakkam,Chennai",3,No
Adithi Homes,3,No
Golden Treasure,3,Yes
Ozone Greens,4,No
"Leelavathi Nagar, Tharapakkam,Chennai",3,No
SRN Flat,3,Yes
Sterling Bhandari,3,No
"JC shelters ,Perungalathur, Chennai",3,Yes
"Varadharajapuram, Chennai",3,Yes
Blossom Apartment,3,No
"Annai Arul Park View Apartment,Rajakilpakkam, Chennai",3,No
Saradeuz Acropolis,3,Yes
 Saideep Residency,3,Yes
"Madambakkam, Chennai",2,Yes
Optima Upgrade,3,Yes
Adithi Homes,3,No
"Ananthamaya apartment,Bhavani Nagar, Pozhichalur,Chennai",4,Yes
Sudharshan Homes,3,No
"Manthope Colony, Ashok Nagar,Chennai",3,Yes
"Manthope Colony, Ashok Nagar,Chennai",3,Yes
Adithi Homes,3,No
Adithi Homes,3,Yes
Krishna Flats,3,No
"Yesodha Court,Vandalur R.F., Chennai",3,Yes
Vijay Raja Classic,3,Yes
"English county,Vengambakkam, Chennai",3,Yes
"Vengambakkam, Chennai",3,Yes
"ASK DREAM HOMES ,Mudichur, Chennai",3,No
Newry Triton,3,Yes
"Gowri Garden,Kanathur, Uthandi,Chennai",3,No
"Duraisamy Nagar, Kotturpuram,Chennai",3,Yes
 Signet Shalom,3,No
"Guduvancheri, Chennai",3,No
"HI FI Enclave,VGN Nagar, Iyyappanthangal,Chennai",3,No
Amarprakash Temple Waves,3,No
"Alangar,Tambaram East, Chennai",3,Yes
Sai Empire Villas,3,No
"Maraimalai Nagar, Chennai",3,Yes
Ashwanth Vedas,3,Yes
 Ganpati Pearl by Om Access Realty Pvt. Ltd,3,No
SBN Sree Bhoomi Neela Enclave,3,No
Narmada Apartment,3,Yes
"Siddharth Sriyaji apartments,Choolai, Chennai",3,No
Srikaram Shubhadhi,3,Yes
"Karunakaran Enclave,Jagannathan Colony, Perambur,Chennai",3,No
Vaikund Sundaram by Vaikund Estates,3,No
CasaGrand Castle,3,No
"Aquasphere,Semmanjeri, Semmancheri,Chennai",3,Yes
Arun Excello Compact Homes Sankara by Arun Excello Homes Pvt Ltd,2,Yes
"CTO colony ,Tambaram Mount, West Tambaram,Chennai",3,No
The Nest Njoy,2,Yes
Viswak Meadow Lands,3,No
"Panchayat Colony, Pammal,Chennai",3,Yes
"Arjunamedu, Thiruverkkadu,Chennai",4,Yes
Arun Excello Compact Homes Sankara,2,No
VGN Coasta,3,No
"Pranav Foundations,Girigori Nagar, Manapakkam,Chennai",3,Yes
"R D Appartment,Kamakshi Nagar, Anakaputhur,Chennai",3,Yes
"VOC Nagar, Pammal,Chennai",3,No
XS Real En Veedu,2,Yes
Radiance Ivy Terrace,3,No
"Kamaraj Nagar, Perungudi,Chennai",3,No
Jain Jains Anumita,3,Yes
Hansa Pearl,3,Yes
VGN Platina,2,Yes
"Royal nest apartment chrompet ,Thiruneermalai, Chennai",3,Yes
Casa Grande Miro,3,Yes
"Own building ,Ramakrishna Puram, West Mambalam,Chennai",3,Yes
XS Real En Veedu,2,No
DABC Freesia Garden,2,No
"Yasodha Court,Vandalur R.F., Chennai",3,Yes
"ORAGADAM,Gandhi Nagar, Oragadam Ambattur,Chennai",3,Yes
Ganesh,3,No
"DSP ICON,Sithalapakkam, Chennai",2,No
Amarprakash Temple Waves,3,Yes
"Evergreen Royal Bloom Apartments ,Vandalur R.F., Chennai",3,No
"Lakshmipuram, Chromepet,Chennai",2,Yes
Asset ATH Sigma by Asset Tree Homes,3,Yes
