Name,Baths,Balcony
Venkatraman Nagar,2,No
 Castle,2,Yes
Hiranandani Parks Apartment,4,Yes
AISHWARYAM Apartments,3,Yes
"Sai Sadan Aynambakkam,Kil Ayanambakkam, Chennai",3,Yes
"Kadambathur ,Kadambathur, Chennai",2,No
"Kadambathur railway station ,Kadambathur, Chennai",2,No
"Anna Nagar, Chengalpattu,Chennai",2,Yes
"Mogappair, Chennai",3,No
"Kamaraj Nagar, Choolaimedu,Chennai",5,Yes
"Subhash Nagar, Chromepet,Chennai",2,Yes
"Samiyar Garden, Vyasarpadi,Chennai",2,No
"casagrand arena ,Gandhi Nagar, Oragadam Ambattur,Chennai",3,No
Irasi Isaiyaham Apartment,3,No
"Samiyar Garden, Vyasarpadi,Chennai",3,Yes
"Guduvancheri, Chennai",3,No
"Anna Nagar, Chengalpattu,Chennai",5,Yes
"Kamaraj Nagar, Perungudi,Chennai",2,Yes
"Poonamallee, Chennai",3,Yes
"Chepauk, Triplicane,Chennai",1,Yes
"Saradapuram, Mylapore,Chennai",3,Yes
"Chetpet, Chennai",3,Yes
"million arces,Guduvancheri, Chennai",2,Yes
"BRICS CONSTRUCTION,JAK Nagar, Thirumullaivoyal,Chennai",3,Yes
"Nagarjuna Nagar, Kodambakkam,Chennai",2,No
"BRICS CONSTRUCTION,Vaishnavi Nagar, Thirumullaivoyal,Chennai",3,No
"Kadambathur, Chennai",1,No
"Velachery, Chennai",3,No
"Oragadam Sriperambattur, Chennai",2,Yes
"Anthony Nagar, Kolathur,Chennai",3,No
"Kadambathur, Chennai",5,Yes
"Kadambathur, Chennai",5,Yes
Mantri Synergy,3,No
VGN Brixton,2,No
"Prem Nagar, Pozhichalur,Chennai",5,Yes
"Jagannathapuram, Chetpet,Chennai",3,No
"MM Sai Paradise Apartment ,Guduvancheri, Chennai",3,No
"SATYA,MGR Nagar, Mangadu,Chennai",2,Yes
" Palace Gardens,Gandhi Nagar, Oragadam Ambattur,Chennai",4,Yes
Lancor Abode Valley,3,Yes
Mahindra World City,3,No
Mahindra World City,3,No
Gomathi Amman Nagar IX Extn I,2,No
"Anthony Nagar, Kolathur,Chennai",2,Yes
"Kathirvedu, Puzhal,Chennai",4,Yes
"Harikrishnapuram, Manali,Chennai",3,Yes
"Besant Nagar, Chennai",4,Yes
"Sri Sai mm nagar,Vandalur, Chennai",3,Yes
"Pratheesh suppliers ,Red Hills, Chennai",3,Yes
 Sea View Apartments,3,Yes
"JC shelters,Perungalathur, Chennai",2,No
Indira Orchard Town,2,Yes
"Avadi, Chennai",3,No
"Periyapalayam, Chennai",3,Yes
"Veerapuram, Chennai",3,No
Surya Apartment,3,Yes
Landster Water Front,4,Yes
"Aravind Nakshatra,JAK Nagar, Thirumullaivoyal,Chennai",3,Yes
JHL Chengalpet,3,Yes
"Arjunamedu, Thiruverkkadu,Chennai",3,Yes
"Building om shakthi nilayam ,Narayana Krishnaraja Puram, Triplicane,Chennai",2,No
"Anna Nagar, Chengalpattu,Chennai",5,Yes
"Lumbini Square, Purasawalkam,Chennai",3,Yes
"Sakthi Sai Apartment Ambattur,Pudur, Ambattur,Chennai",3,Yes
"Oragadam Ambattur, Chennai",3,No
"Oragadam Ambattur, Chennai",3,No
"Rajaji Nagar Extention, Madipakkam,Chennai",3,No
"Anna Nagar, Chengalpattu,Chennai",2,No
"Foundations ,Kumananchavadi, Chennai",3,No
"Villivalam, Chennai",3,No
"Avadi, Chennai",3,Yes
"MUTHAMIZH NAGAR KODUNGAIYUR,Muthamizh Nagar, Kodungaiyur West,Chennai",1,Yes
"Korukkupet, Washermanpet,Chennai",1,Yes
"Bhogar,Menambedu, Ambattur,Chennai",3,No
T V H Svaya,2,No
"Ramakrishna Nagar, Raja Annamalai Puram,Chennai",3,Yes
"Anna Enclave, Injambakkam,Chennai",3,Yes
"Nolambur, Ambattur Industrial Estate,Chennai",1,Yes
"Sembiyan, Perambur,Chennai",4,Yes
"Anna Nagar, Chengalpattu,Chennai",2,Yes
"Ekkatuthangal, Chennai",3,Yes
"CHANDRA FLATS AMBATTUR ,Ambattur, Chennai",2,Yes
Casagrand Pavilion,4,Yes
"Chinnasekkadu, Manali,Chennai",3,Yes
Thanigai Gomathi Amman Nagar Phase II,2,No
"Kaietha Milleth Nagar, Pallikaranai,Chennai",3,No
TNHB LIG Flats,2,Yes
"Chinnaekkadu, Thiruvallur,Chennai",3,Yes
"Guduvancheri, Chennai",3,No
Landster Water Front,4,Yes
"Kaviarasu Kannadasan Nagar, Kodungaiyur East,Chennai",3,No
Macro Wood Creek County Phase IV,3,Yes
Aloha Enclave,3,Yes
"Water Front,Kovalam, Chennai",4,Yes
"Ma. Po. Si. Nagar, Thiruvallur,Chennai",4,Yes
"Indira Nagar, Thoraipakkam,Chennai",2,Yes
"Ranganathan Garden, Anna Nagar,Chennai",3,Yes
"Hirco Palace Gardens, Chennai",4,Yes
Jubliee Residences,2,Yes
"Water Front Villas ,Kovalam, Chennai",4,Yes
"Tiruvottiyur, Chennai",4,Yes
Navganesh Tulip,2,No
TNHB Ayapakkam HIG Block 1,2,Yes
"Lakshmi Ammal Nagar, Kodungaiyur West,Chennai",3,Yes
"Patel Nagar, West Tambaram,Chennai",4,No
"Southern Fou,Kalyanapuram, Ambattur,Chennai",2,Yes
"Padur, Chennai",4,Yes
"Golden heaven site chengalpattu,Alapakkam, Chengalpattu,Chennai",2,No
"Ma. Po. Si. Nagar, Thiruvallur,Chennai",2,Yes
 Balambal Apartments,3,No
"Manikanda Puram, Thirumullaivoyal,Chennai",3,Yes
"Manali New Town, Manali,Chennai",2,No
"Sembiyan, Perambur,Chennai",3,No
"Sembiyan, Perambur,Chennai",3,No
"Mogappair West, Ambattur Industrial Estate,Chennai",4,Yes
Sare Dewy Terraces,3,Yes
Golden Lake Side by Golden Prosperous Property Developers Pvt Ltd,3,Yes
"Sri Kapaleeswarar Nagar, Neelankarai,Chennai",2,Yes
"Sri Kapaleeswarar Nagar, Neelankarai,Chennai",1,Yes
TNHB LIG Block,2,No
"Sakthi Avenue, Gerugambakkam,Chennai",2,No
"Vigneshwara Nagar, Madhanandapuram,Chennai",2,No
Rajendra Apartments,3,Yes
"Saai Nivas flats,Bhavani Nagar, Pozhichalur,Chennai",3,Yes
Arun Saindhavi,2,No
"TNHB Kakkalur,Ma. Po. Si. Nagar, Thiruvallur,Chennai",3,No
DRA Pristine Pavilion Phase 3 by DRA Group,2,Yes
"Kallikuppam muthamilnagar,Kallikuppam, Korattur,Chennai",3,Yes
Arun Excello Four Greens,2,No
Arun Excello Compact Homes Vasanthaa by Arun Excello Homes Pvt Ltd,2,Yes
Arun Excello Four Greens by Arun Excello Homes Pvt Ltd,2,No
Arun Excello Four Greens by Arun Excello Homes Pvt Ltd,2,No
"cradle,Prakash Nagar, Ponniammanmedu,Chennai",3,Yes
"Maxworth Nagar Phase 1, Kolapakkam,Chennai",3,No
"Manthope Colony, Ashok Nagar,Chennai",5,Yes
"KK Nagar, Chennai",3,Yes
"Eswaran Nagar, Thiruverkkadu,Chennai",3,No
"Ma. Po. Si. Nagar, Thiruvallur,Chennai",3,No
"Thillai Natarajan Nagar,Sikkarayapuram, Chennai",3,Yes
"Vijaya Gardens, Valasaravakkam,Chennai",3,No
"sri mookamigai appartment,Krishna Industrial Estate, Porur,Chennai",2,Yes
"Cheran Nagar, Perumbakkam,Chennai",1,No
"Pudumanaikuppam, Old Washermanpet,Chennai",3,No
"Bhavani Nagar, Ayappakkam,Chennai",3,Yes
"Jai maruthi apartment ,Mandavelipakkam, Raja Annamalai Puram,Chennai",2,No
"Guduvancheri, Chennai",3,No
"TNHB Colony, Villivakkam,Chennai",3,Yes
Land Villivakam,2,No
"Arun Excello Narmada,Singaperumal Koil, Chennai",2,Yes
"Kalyanapuram, Ambattur,Chennai",3,No
Rahul Balaji Enclave,2,No
"Korattur, Chennai",3,No
"Kilpakkam- Arakkonam, Chennai",3,Yes
"Swarnambigai Nagar, Virugambakkam,Chennai",3,No
"Tillai Nagar, Korattur,Chennai",3,Yes
 Syndicate Residency,3,Yes
S Promoters Sithalapakkam,3,Yes
"Doctors city,Chengalpattu, Chennai",2,Yes
"Sector 5, KK Nagar,Chennai",1,No
"Sholinganallur, Chennai",4,Yes
"Siruniam, Chennai",3,No
"Anna Nagar, Chengalpattu,Chennai",6,No
Casa Grand Asta 1,4,Yes
"Elango Nagar Extension, Virugambakkam,Chennai",2,Yes
"Patel Nagar, West Tambaram,Chennai",3,No
Green Garden,2,No
"Nithish Developers,Kattur, Chennai",3,Yes
"Veppampattu, Chennai",3,No
"Sholinganallur, Chennai",3,Yes
"Sholinganallur, Chennai",3,Yes
"Kathiravan Colony, Anna Nagar,Chennai",1,No
"bharath law college,Rajiv Gandhi Nagar, West Tambaram,Chennai",2,Yes
"Avadi, Chennai",3,Yes
Annai Aaditya,2,Yes
"Manali New Town ,Manali New Town, Manali,Chennai",2,No
ProvidentCosmo City,3,No
"nolambur,Nolambur, Ambattur Industrial Estate,Chennai",3,Yes
"VGP Layout, Palavakkam,Chennai",4,Yes
Maduravoyil,4,Yes
"brindavan ,Singaperumal Koil, Chennai",3,Yes
"Jamaliya Nagar, Perambur,Chennai",4,Yes
Guru Raghavendra Nagar,3,No
"Kundrathur, Chennai",3,Yes
"Kundrathur, Chennai",3,No
Mahindra Happinest MWC,1,Yes
Casagrand Bellissimo,3,Yes
"Temple View by ARRR constructions,Alandur, Chennai",3,Yes
"Kalpakkam, Chennai",3,Yes
"Susila Nagar, Kodungaiyur East,Chennai",3,No
"La Habitat apartment ,Madhanandapuram, Chennai",2,Yes
"Rajiv Nagar, Perungudi,Chennai",6,Yes
"Malangananda Puram, Pallavaram,Chennai",4,Yes
"Kousik Apartment,Ambattur, Chennai",2,No
"west hills,Suriyammapet, Saidapet,Chennai",3,Yes
"Shakthi Nagar, Kodambakkam,Chennai",1,Yes
"Vetri Nagar, Perambur,Chennai",4,Yes
"Vetri Nagar, Perambur,Chennai",4,Yes
"Kovalam, Chennai",6,No
"Green Way Paradise,Kadapperi, Tambaram Sanatoruim,Chennai",2,Yes
"KK Nagar, Chennai",3,Yes
Casagrand Arena,3,Yes
"Kamaraj Nagar, Choolaimedu,Chennai",2,No
"Uthandi tollgate,Kanathur, Uthandi,Chennai",6,Yes
"Jansieswar,Alandur, Chennai",2,No
"pushpa enclave k k nagar,West K.K.Nagar, KK Nagar,Chennai",3,No
"Ayapakkam, Chennai",2,Yes
"Bhavani Nagar, Ayappakkam,Chennai",2,No
"Aspiran Garden Colony, Kilpauk,Chennai",2,Yes
"Mahindra World City, Chennai",3,No
"Kosapet, Purasawalkam,Chennai",1,Yes
"Singaperumal Koil, Chennai",3,Yes
Right RMY Residency,4,Yes
"Vivek Flats,Rajaji Nagar Extention, Madipakkam,Chennai",2,No
"Sriram Nagar, Ramapuram,Chennai",5,Yes
Radiance Green Springs,5,Yes
"Periyar Nagar, Chromepet,Chennai",2,Yes
"Villivakkam, Chennai",3,Yes
"tambaram,Mudichur, Chennai",3,Yes
"Mudichur, Chennai",3,No
"Kumananchavadi, Chennai",2,Yes
Kumaran Flats,2,Yes
Greenway paradise,2,No
"Thiruvallur, Chennai",3,No
"Arun excello Vasantha ,Padappai, Chennai",1,Yes
 Chromepet,3,Yes
"Kaladipet, Tiruvottiyur,Chennai",2,No
Royal Civil Kurinji Flats by Royal Civil Tech,3,No
"Annanur, Cholambedu,Chennai",3,Yes
Mahindra Lifespaces Aqualilly Flexi Homes,2,Yes
"Kanathur, Uthandi,Chennai",3,Yes
"Sree Gokulam apartment ,Alapakkam, Maduravoyal,Chennai",2,No
"Perumalpattu, Chennai",3,Yes
Melukote Apartment,2,Yes
"Kallikuppam, Korattur,Chennai",2,Yes
"Moolakadai, Chennai",2,Yes
"Chinna Chembarambakkam, Ayanavaram,Chennai",2,Yes
Vetri Sri Arunachala City,3,Yes
"O Block, Annanagar East,Chennai",3,No
Puravankara Purva Mayfair,4,Yes
"sivalingapuram korattur,Ambattur, Chennai",2,Yes
"Raj Apartment,Rajiv Gandhi Nagar, West Tambaram,Chennai",2,Yes
TVS Flourish by TVS Emerald Haven Realty,3,No
"Mylapore, Chennai",2,No
Arun Excello Compact Homes Vasanthaa by Arun Excello Homes Pvt Ltd,1,Yes
"Manali New Town, Manali,Chennai",2,Yes
"2B Mithila RB construction ,CIT Nagar West, CIT Nagar,Chennai",3,Yes
"URBAN RISE,Padur, Chennai",2,Yes
"Ekkatuthangal, Chennai",3,No
"Alex Nagar Colony, Madhavaram,Chennai",4,Yes
Vel Foundations Vels Mayura,2,Yes
"Kadalur, Chennai",3,Yes
"Kalyanapuram, Ambattur,Chennai",5,Yes
Ramaniyam,1,Yes
Ramaniyam,1,Yes
"Yeswanth Nagar, Madambakkam,Chennai",2,No
"KK Nagar, Mangadu,Chennai",3,Yes
Janaki Apartments,2,No
Arun Excello Megha,1,No
Sai Ram Apartment,2,Yes
"KK Nagar, Chennai",4,Yes
"Sampoorna Villas ,Ashthinapuram, Chennai",3,No
"Pudumanaikuppam, Royapuram,Chennai",2,No
"Manimangalam, Chennai",2,Yes
"sri Krishna appartment,Kallikuppam, Ambattur,Chennai",3,Yes
"Janaki flats,Chepauk, Triplicane,Chennai",2,No
"Triplicane, Chennai",2,Yes
"Surya Nagar, Kotturpuram,Chennai",3,Yes
"Satyavanimuthu Nagar, Ennore,Chennai",4,Yes
"Jagannatha Nagar, Arumbakkam,Chennai",3,No
"Panaiyur, Chennai",4,Yes
"Mel Ayanambakkam, Kil Ayanambakkam,Chennai",4,Yes
"Goparasanallur, Kattupakkam,Chennai",2,No
"Anna Nagar, Pallavaram,Chennai",3,No
"Apparao Colony, Tambaram Sanatoruim,Chennai",4,Yes
Balaji Apartment,5,Yes
"Guduvancheri, Chennai",3,No
"Nanganallur ,I Cross Extension, Nanganallur,Chennai",2,No
"Paramesh Nagar, Adambakkam,Chennai",4,Yes
"Subasree Nagar Extension, Mugalivakkam,Chennai",3,No
"Solai senthil apartment saidapet,Suriyammapet, Saidapet,Chennai",2,Yes
Kasi Parkavi Apartments,2,No
Kasi Parkavi Apartments,2,No
"Private Apartment,Kumananchavadi, Chennai",2,Yes
"Thousand Lights West, Thousand Lights,Chennai",5,Yes
"Pudumanaikuppam, Old Washermanpet,Chennai",2,Yes
"Veppampattu, Chennai",3,Yes
Happy Homes Apartment,3,No
"Siruniam, Chennai",3,No
"Vada Nemmeli, Chennai",2,Yes
"Madhanandapuram, Chennai",3,No
"Sri Ishwaryam Villas,Ashthinapuram, Chennai",3,No
"Chinna Chembarambakkam, Ayanavaram,Chennai",4,Yes
TVH Svaya,2,No
"Buddhar Colony, Porur,Chennai",2,No
North Town,3,Yes
"Veppampattu, Chennai",2,No
Happy Homes Apartment,3,Yes
"Veppampattu, Chennai",2,No
St Angelos Ocean Drive Villas,2,Yes
"Perumalpet, Purasawalkam,Chennai",3,Yes
"Anandam Nagar, Ramapuram,Chennai",3,No
"ungal kanavu illam,Thousand Lights West, Thousand Lights,Chennai",2,No
"Railway Colony, Aminjikarai,Chennai",2,No
"Nanmangalam, Chennai",5,Yes
"Adayalampet, Maduravoyal,Chennai",2,Yes
"Periyar Nagar, Chromepet,Chennai",3,Yes
"Jayalalitha Nagar, Kattupakkam,Chennai",2,Yes
"Jayalalitha Nagar, Kattupakkam,Chennai",2,No
Sagas Vaibhav Enclave,3,No
"Vengambakkam, Chennai",3,Yes
Godrej Palm Grove,3,Yes
"Ramji Nagar, Madhanandapuram,Chennai",5,Yes
"Ramji Nagar, Madhanandapuram,Chennai",3,No
"Ramji Nagar, Madhanandapuram,Chennai",5,Yes
"Perungalathur, Chennai",3,Yes
"Teynampet ,Subbarayan Nagar, Teynampet,Chennai",1,Yes
"Ayathur, Veppampattu,Chennai",3,No
"Veppampattu, Chennai",3,Yes
"Sorgam Nest ,Kanathur, Uthandi,Chennai",3,No
"Tharamani, Chennai",4,Yes
"Periyar Nagar, Tiruvottiyur,Chennai",1,Yes
"Sri Ram Nagar, Alwarpet,Chennai",3,No
Mayapuri Leo Taurus,1,Yes
KR Kovilambakkam,3,Yes
Unity Enclave,3,No
"Malangananda Puram, Pallavaram,Chennai",4,Yes
"Thiruvalluvar Nagar, Thiruvanmiyur,Chennai",4,Yes
"Yeswanth Nagar, Madambakkam,Chennai",2,Yes
"Nungambakkam, Chennai",3,No
"Choolaima Nagar, Thoraipakkam,Chennai",2,Yes
Sagas Lakshmi,2,No
"Sri Kapaleeswarar Nagar, Neelankarai,Chennai",2,No
Annai Atulya Madambakkam,2,Yes
"Scion Elite Apartments ,Byrasandra, C V Raman Nagar,Bangalore",3,No
Provident Welworth City,3,No
"Sukhi Apartments Rhenius Street,Richmond Town, Bangalore",4,Yes
"Kanka Nagar, Kumaraswamy Layout,Bangalore",5,Yes
Elgin Court,3,Yes
"Gollarapalya, Bangalore",5,Yes
"Naganathapura, Rayasandra,Bangalore",3,Yes
Icon Iconest 3,2,No
Shriram Blue,3,Yes
"Shrivas serenity Lake veiw Gardens ,K Channasandra, Bangalore",3,Yes
Embassy Lake Terraces,6,Yes
"Bhaktharahalli, Bangalore",2,No
Kolte Patil Raaga,3,No
"Victory Churekh,Hennur, Bangalore",3,No
"Attibele, Bangalore",4,Yes
"IInd Phase, Bharat Nagar,Bangalore",3,Yes
Nitesh Central Park,3,Yes
"JANANI Appartment,AMS Layout, Vidyaranyapura,Bangalore",3,Yes
Prabhavathi Lotus 2,3,Yes
Prestige Pinewood,3,Yes
RHBL Prakrithi,3,No
YMR Lichen,3,No
"Kamala Nagar, Bangalore",3,Yes
"SLM Paradise,East Of NGEF Layout, Kasturi Nagar,Bangalore",3,No
Oceanus Tranquil,3,No
"Shriram Surabhi Apartment,Mallasandra, Bangalore",3,Yes
Vishwas Paradise,3,No
GK Tropical Springs,3,Yes
"Honour Aura,Raja Industrial Estate, Yeshwanthpur,Bangalore",3,Yes
"Electronics City Phase 1, Electronic City,Bangalore",4,Yes
Prestige Golfshire,6,Yes
Profound Symphony,3,No
Confident Jade,3,Yes
"Nallurhalli, Whitefield,Bangalore",3,No
Shriram Surabhi,3,No
Prestige Woodland Park by Prestige Estates Projects Ltd.,3,Yes
SLS Silver Oak,3,No
"Bhadras paradise ,Jinke Thimmanahalli, NRI Layout,Bangalore",3,No
MJR Clique Hydra,3,Yes
Homes ANS Blossom,3,Yes
Habulus Residency,3,Yes
SS Vrudhi,3,Yes
Apoorva Lakeside,3,Yes
"Prasidhi builder,Ganapathipura, Konanakunte,Bangalore",3,Yes
SVS Trendsquare Precioso,3,Yes
Sri Sai Enclave,3,No
Aravind Residency,3,No
Capita Caroline Springs,6,Yes
Ozone Green View by The Advantage Raheja,3,No
Tata Value Homes New Haven Bengaluru,3,Yes
Provident Harmony,3,Yes
"Islampur, Vimanapura,Bangalore",1,Yes
"Phase 2, Tejaswini Nagar,Bangalore",5,Yes
Puravankara Palm Beach,3,No
Koolz Platinum hill,3,No
"Doddanekundi, Kartik Nagar,Bangalore",4,Yes
Ajmera Nucleus,3,Yes
Arge Urban Bloom by Arge Realty,3,Yes
Bansuri Apartments,3,Yes
"Green Woods Layout, Varanasi,Bangalore",5,Yes
Mars Enclave,3,No
Prestige Jindal City,3,Yes
"Shree Ranga Priya Residency ,Pattabhirama Nagar, Jayanagar,Bangalore",3,No
Aditya Palatial Apartment,3,No
"Sunrise Layout ,Jigani, Bangalore",4,Yes
"Samudrikaa uptown,Hancharahalli Village, Bangalore",3,Yes
Definer Hi Life,3,Yes
"Biotech Park, Chandapura,Bangalore",6,Yes
Hiranandani Calgary,3,Yes
"AUM Residency,Doddakallasandra, Konanakunte,Bangalore",3,Yes
"J P Nakshatra ,HRBR Layout, Kalyan Nagar,Bangalore",3,No
Celebrity Natures Habitat,2,Yes
Total Environment Learning To Fly,4,Yes
"startan heights,Richmond Town, Bangalore",3,Yes
Provident Sunworth,3,No
Prestige Bagmane Temple Bells,3,Yes
"Marsur, Bangalore",4,Yes
"Tirumala Windsor,Sundar Ram Shetty Nagar, Bilekahalli,Bangalore",4,Yes
Legacy Madelia,5,Yes
Radiant Lake View,3,Yes
"Swami Corner Apartments ,Lakkasandra Extension, Wilson Garden,Bangalore",3,No
MJ Azaliya,3,Yes
"Electronic City Phase II, Bangalore",3,Yes
"Builders apartment kora,Koramangala, Bangalore",3,No
"P&T Layout, Thanisandra,Bangalore",3,No
Atco Sapphire,3,Yes
"Amalodbhavi Nagar, Panduranga Nagar,Bangalore",5,Yes
SLV Homes,3,No
"Raghuvanahalli, Bangalore City Municipal Corporation Layout,Bangalore",3,Yes
Ambiant The Infiniti,3,No
Mana Charisma,3,Yes
Brigade 7 Gardens,3,Yes
Vijaya SpringWoods,3,No
"Kalkere,Jinke Thimmanahalli, NRI Layout,Bangalore",4,Yes
 Midhila Deluxe,3,Yes
Gagan Manjunath Enclave,3,No
"Anekal, Bangalore",2,Yes
"K C Krishna Reddy Layout, Margondanahalli,Bangalore",5,Yes
Rainbow Waterfront,3,No
VBHC - Serene Town,3,Yes
"3rd Phase, Basaveshwara Nagar,Bangalore",2,Yes
"Stage 4, Bommanahalli,Bangalore",3,Yes
Vishnu Woodstock,3,No
"BEL, Vidyaranyapura,Bangalore",1,Yes
"Sri Ranga Paradise ,Hemmigepura Ward 198, RR Nagar,Bangalore",3,No
"Golden Parvi Apartment Nagarabhavi ,Sanjay Nagar, Marathahalli,Bangalore",1,Yes
"Thomas Town, Cooke Town,Bangalore",1,Yes
"Adityanagar, Vidyaranyapura,Bangalore",2,Yes
"Yelahanka, Bangalore",2,No
"Ranganatha Nilaya ,Stage 2, Vijayanagar,Bangalore",3,No
"Munireddy Layout, Konanakunte,Bangalore",3,No
"Channasandra RR NAGAR BDA LAYOUT,BEML Layout, RR Nagar,Bangalore",5,Yes
"Malleshpalya, Kaggadasapura,Bangalore",2,Yes
"Origin Harmony Grooves,Sonnenahalli Colony, Krishnarajapura,Bangalore",4,Yes
"Satya apartment,Padmanabhanagar, Bangalore",3,No
"Ayyappa Nagar, Krishnarajapura,Bangalore",3,Yes
"K Channasandra, Bangalore",5,Yes
MC Fortune,3,Yes
"Rahmath Nagar, R. T. Nagar,Bangalore",2,No
"Horamavu Agara, Horamavu,Bangalore",3,Yes
"colpital bullder snow white prakruthi layout,Horamavu Agara, Horamavu,Bangalore",3,Yes
Sai Sannidhi Estates V S Sai Ashraya,3,Yes
"HRBR Layout, Kalyan Nagar,Bangalore",3,Yes
"8th Phase, JP Nagar,Bangalore",3,Yes
Brigade Gardenia Annexe,3,Yes
"Stonebridge fortune ,HRBR Layout, Kalyan Nagar,Bangalore",3,No
"Bhoomika Elites JP Nagar 9th Face Anjanapura Bengaluru,9th Phase, JP Nagar,Bangalore",3,No
"Prakash Nagar, Rajajinagar,Bangalore",3,Yes
"Badamanavarthekaval, Bangalore",4,Yes
"Sumeru Apartments,Stage 1, BTM Layout,Bangalore",3,Yes
"Prime Living,Electronics City Phase 1, Electronic City,Bangalore",3,Yes
"Anand Appartments,Eshwara Nagar, Banashankari,Bangalore",3,Yes
"A N Omkar,Kanka Nagar, Kumaraswamy Layout,Bangalore",3,No
"Ramanjaneyanagar, Chikkalasandra,Bangalore",3,Yes
"Balaji layout,AECS C Block, Begur,Bangalore",2,No
"Thathaguni, Bangalore",3,Yes
"Self Financed Society 208 Colony, Yelahanka New Town,Bangalore",3,Yes
Srinivasa Diamond Apartments,3,No
Prashant Regency by Prashant Builders,3,No
"Chamundi Nagar, Hebbal,Bangalore",4,Yes
"Shivaganga Padmashree ,2 Stage, Uttarahalli Hobli,Bangalore",3,No
"Postal Colony, Sanjaynagar,Bangalore",5,Yes
"Mariappanapalya, Rajajinagar,Bangalore",3,Yes
"Railway Layout, Jnana Ganga Nagar,Bangalore",6,Yes
Opera Tranquil Earth,3,No
"Nallurhalli, Whitefield,Bangalore",3,Yes
"7th Phase, JP Nagar,Bangalore",3,Yes
Metropolis Fair Oaks,3,Yes
"Thottadagudahalli,Thotada Guddadhalli Village, Bangalore",4,Yes
"Railway Layout, Jnana Ganga Nagar,Bangalore",4,Yes
"Bande Mutt, Kengeri Satellite Town,Bangalore",6,Yes
BM Glorietta,3,Yes
Veracious Rosedale	 by Veracious Builders & Developers (P) LTD,3,No
"Maitri harmony,Stage 2, Nagarbhavi,Bangalore",3,Yes
"Srinivasa Nagar, Banashankari,Bangalore",4,Yes
Sri Sai Diamond,3,No
Mukunda Brundhavan,3,No
"Sai properties,Kanakapura, Bangalore",3,No
"K AND T SAI BALA JI ,Electronics City Phase 1, Electronic City,Bangalore",3,No
"Ayyappa Nagar, Krishnarajapura,Bangalore",3,Yes
"Budigere Cross, Bangalore",3,Yes
"Prime living ,Veer Sandra, Electronic City,Bangalore",3,No
" A N SWAGATH,Gubbalala, Subramanyapura,Bangalore",3,No
"Srinivasa Nagar, Banashankari,Bangalore",3,Yes
DS Max Sky Classic,3,No
"Ullal Uppanagar, Bangalore",4,Yes
"Basavanagudi, Bangalore",3,No
"Veeranjinappa Layout, Abbigere,Bangalore",4,Yes
Tata Value Homes New Haven Bengaluru,3,No
"Chandra Layout, Attiguppe,Bangalore",4,Yes
"Oil Mill Road ,Kacharakanahalli, Bangalore",3,No
Sowparnika Purple Rose,3,No
Ruchira Aarna Homes,3,Yes
"Cleveland Town, Frazer Town,Bangalore",4,Yes
"Manganahalli, Bangalore",4,Yes
 Midhila Deluxe,3,No
Provident Sunworth,3,No
"LEGACY DAVIS,Cox Town, Bangalore",3,Yes
"Brigade,Subramanyanagar,2 State, Rajajinagar,Bangalore",3,No
"Mayur daffodiles ,Billapura, Bangalore",3,No
"Eastwood Township, Harlur,Bangalore",5,Yes
"Udayanagar Extension, Mahadevapura,Bangalore",5,Yes
i1 Tulasi Premier,3,No
Sipani Royal Heritage,3,Yes
Mahaveer Marvel,3,No
Vandana Eastwood,3,No
Artha Citrine,2,No
Santhosh Paradise Apartment,3,No
Habulus Elite II,3,Yes
"Saraswathi Nagar, Vijayanagar,Bangalore",5,Yes
"Manpho Greens layout,BEML Layout, Bagalur,Bangalore",4,Yes
Gagan Manjunath Enclave,3,No
Kwality RAGA Apartment,3,Yes
TG Lakevista by T.G. Developers,3,Yes
"Bella Vista,Rammana Layout, Byrathi,Bangalore",3,No
Sai Brinda Apartments,3,No
"Purva Palm Beach,Kyalasanahalli, Bangalore",3,Yes
SLV Jasmine,3,Yes
Siroya Sunshine,3,No
Janapriya Greenwood,3,Yes
"Jinke Thimmanahalli, NRI Layout,Bangalore",4,Yes
"Bilappa Garden, Ganganagar,Bangalore",3,No
"Maruthi Extension, Malur,Bangalore",3,Yes
"koramanlaga,Koramangala, Bangalore",2,Yes
Deccan Nivas,3,No
Bren Woods by Bren Corporation,3,Yes
"Banashankari Stage II, Banashankari,Bangalore",4,Yes
SSVR Laurel,3,No
Habitat Cedar Apartment,3,No
"Ushodaya Pallavi Apartment,Belathur, Krishnarajapura,Bangalore",3,No
R R Towers,3,Yes
"Anjanapura 9th Block, Anjanapura Township,Bangalore",2,Yes
"SR FLORA ,Hongasandra, Bangalore",2,Yes
"Royale Nest,Prashant Nagar, Vijayanagar,Bangalore",3,Yes
Ozone Urbana Aqua,3,No
RMZ Sawaan,5,Yes
KeyStone S.R FLORA ,3,Yes
"Chikkabettahalli, Bangalore",4,Yes
Brigade Orchards,3,Yes
"Madanayakahalli, Bangalore",2,No
DS Max Santhrupthi Nest,3,Yes
Reshan Shalom Apartments,3,Yes
Hemanth Homes Avocados,3,Yes
"Sai Golden Nest,Terracon Doctors Enclave, Chandapura,Bangalore",4,Yes
Sattva East Crest,3,Yes
"Samrudhi Enckave hesarghatta,Defence Colony, Bagalakunte,Bangalore",3,No
